,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.357234,1.358446,1.322499,1.34534,1.34534,18828674.0
364,2023-02-27,1.398353,1.398628,1.352266,1.357607,1.357607,17897066.0
363,2023-02-26,1.357468,1.428025,1.351544,1.398377,1.398377,28060876.0
362,2023-02-25,1.389631,1.392914,1.318754,1.357856,1.357856,23289265.0
361,2023-02-24,1.424692,1.429122,1.370587,1.389608,1.389608,28007328.0
360,2023-02-23,1.436332,1.453451,1.406744,1.424656,1.424656,24343164.0
359,2023-02-22,1.490395,1.497295,1.395042,1.436311,1.436311,37478099.0
358,2023-02-21,1.481751,1.557528,1.449615,1.49061,1.49061,82631032.0
357,2023-02-20,1.441204,1.488032,1.432458,1.481538,1.481538,30901741.0
356,2023-02-19,1.468221,1.49254,1.437338,1.441495,1.441495,25496971.0
355,2023-02-18,1.469185,1.489904,1.451475,1.468155,1.468155,20777194.0
354,2023-02-17,1.40693,1.490444,1.40523,1.469022,1.469022,32682243.0
353,2023-02-16,1.497302,1.522528,1.406558,1.406702,1.406702,50991434.0
352,2023-02-15,1.432871,1.503249,1.405579,1.497206,1.497206,39446885.0
351,2023-02-14,1.372852,1.49933,1.363259,1.43291,1.43291,52262878.0
350,2023-02-13,1.447825,1.459169,1.341393,1.372973,1.372973,34596616.0
349,2023-02-12,1.435625,1.514802,1.420553,1.447863,1.447863,27386215.0
348,2023-02-11,1.41332,1.439518,1.401087,1.435655,1.435655,13200223.0
347,2023-02-10,1.389941,1.452661,1.389523,1.412604,1.412604,24975610.0
346,2023-02-09,1.535652,1.550579,1.368496,1.389824,1.389824,43811910.0
345,2023-02-08,1.605185,1.613564,1.527532,1.535393,1.535393,36289433.0
344,2023-02-07,1.570717,1.615337,1.562807,1.605722,1.605722,33304426.0
343,2023-02-06,1.601675,1.624657,1.544633,1.570767,1.570767,42267630.0
342,2023-02-05,1.691954,1.698281,1.58983,1.601556,1.601556,40102994.0
341,2023-02-04,1.684034,1.726321,1.66011,1.692363,1.692363,48652841.0
340,2023-02-03,1.64175,1.684365,1.625617,1.684365,1.684365,34314910.0
339,2023-02-02,1.687456,1.73164,1.641721,1.641792,1.641792,59643876.0
338,2023-02-01,1.658474,1.764811,1.597492,1.687708,1.687708,82345243.0
337,2023-01-31,1.641692,1.723443,1.616206,1.658542,1.658542,69829742.0
336,2023-01-30,1.754909,1.762526,1.596992,1.64134,1.64134,110583992.0
335,2023-01-29,1.772687,1.868827,1.721631,1.755287,1.755287,69186631.0
334,2023-01-28,1.704901,1.797798,1.688761,1.772437,1.772437,91127952.0
333,2023-01-27,1.509755,1.814093,1.482495,1.70531,1.70531,158029317.0
332,2023-01-26,1.513438,1.541676,1.490011,1.509756,1.509756,26905903.0
331,2023-01-25,1.483959,1.529325,1.447499,1.514822,1.514822,24940124.0
330,2023-01-24,1.52743,1.576757,1.459515,1.483454,1.483454,27784144.0
329,2023-01-23,1.514327,1.556645,1.513032,1.527493,1.527493,26442275.0
328,2023-01-22,1.513281,1.544087,1.48329,1.514311,1.514311,32124419.0
327,2023-01-21,1.519414,1.58219,1.500909,1.51288,1.51288,38037626.0
326,2023-01-20,1.448992,1.522564,1.427134,1.519313,1.519313,33839107.0
325,2023-01-19,1.407774,1.47641,1.387277,1.449185,1.449185,29976869.0
324,2023-01-18,1.522308,1.547635,1.363021,1.407738,1.407738,53322010.0
323,2023-01-17,1.539269,1.564026,1.521557,1.521557,1.521557,31015169.0
322,2023-01-16,1.556322,1.607501,1.51843,1.53917,1.53917,57263649.0
321,2023-01-15,1.584433,1.584433,1.514955,1.556703,1.556703,51026592.0
320,2023-01-14,1.537596,1.704681,1.528866,1.58464,1.58464,106383266.0
319,2023-01-13,1.481967,1.553556,1.472074,1.537861,1.537861,54021674.0
318,2023-01-12,1.485485,1.488498,1.438316,1.481837,1.481837,39856734.0
317,2023-01-11,1.494217,1.494912,1.424603,1.489039,1.489039,31712595.0
316,2023-01-10,1.482679,1.497182,1.44754,1.494377,1.494377,42265782.0
315,2023-01-09,1.42101,1.541737,1.418681,1.482695,1.482695,70464155.0
314,2023-01-08,1.410341,1.421228,1.388505,1.421228,1.421228,22965851.0
313,2023-01-07,1.40908,1.426435,1.40465,1.410302,1.410302,14876519.0
312,2023-01-06,1.40138,1.443605,1.359408,1.409092,1.409092,36360135.0
311,2023-01-05,1.448371,1.449098,1.401225,1.401426,1.401426,20346492.0
310,2023-01-04,1.44857,1.489105,1.431442,1.448471,1.448471,29950155.0
309,2023-01-03,1.483713,1.501576,1.422557,1.448692,1.448692,29895148.0
308,2023-01-02,1.418028,1.499906,1.416055,1.483983,1.483983,39614107.0
307,2023-01-01,1.422753,1.453847,1.390574,1.418106,1.418106,25956414.0
306,2022-12-31,1.3532,1.444777,1.349936,1.422939,1.422939,55320363.0
305,2022-12-30,1.340375,1.360748,1.287907,1.352766,1.352766,33422960.0
304,2022-12-29,1.252682,1.377598,1.241879,1.341009,1.341009,64537386.0
303,2022-12-28,1.342907,1.348637,1.248443,1.252718,1.252718,32091226.0
302,2022-12-27,1.357624,1.383279,1.312123,1.342889,1.342889,30009500.0
301,2022-12-26,1.365751,1.430053,1.333418,1.358555,1.358555,47277755.0
300,2022-12-25,1.443528,1.443528,1.28055,1.365608,1.365608,80475783.0
299,2022-12-24,1.488069,1.502057,1.427962,1.443646,1.443646,25292199.0
298,2022-12-23,1.495245,1.529671,1.479312,1.487798,1.487798,25606881.0
297,2022-12-22,1.526993,1.534995,1.456199,1.495193,1.495193,31321715.0
296,2022-12-21,1.62806,1.62806,1.49923,1.526991,1.526991,38752986.0
295,2022-12-20,1.466711,1.629056,1.466711,1.628324,1.628324,67523952.0
294,2022-12-19,1.707102,1.718697,1.440102,1.466733,1.466733,73997010.0
293,2022-12-18,1.688467,1.741805,1.615449,1.707122,1.707122,90786793.0
292,2022-12-17,1.727362,1.73551,1.31659,1.689918,1.689918,181847110.0
291,2022-12-16,2.142205,2.158788,1.670782,1.72712,1.72712,117328457.0
290,2022-12-15,2.213031,2.220359,2.107258,2.141933,2.141933,50769204.0
289,2022-12-14,2.239707,2.322889,2.200045,2.212846,2.212846,74540077.0
288,2022-12-13,2.353846,2.35665,2.074713,2.23909,2.23909,148631390.0
287,2022-12-12,2.653038,2.705278,2.199171,2.354196,2.354196,158177590.0
286,2022-12-11,2.539098,2.717765,2.531502,2.653922,2.653922,71640634.0
285,2022-12-10,2.5685,2.616074,2.537969,2.538496,2.538496,42439110.0
284,2022-12-09,2.614728,2.711795,2.55027,2.568534,2.568534,75835400.0
283,2022-12-08,2.453554,2.694126,2.391399,2.613956,2.613956,136853905.0
282,2022-12-07,2.341015,2.461543,2.310264,2.453556,2.453556,66306378.0
281,2022-12-06,2.325559,2.375031,2.277284,2.340984,2.340984,34410387.0
280,2022-12-05,2.4253,2.445573,2.282991,2.327196,2.327196,51533757.0
279,2022-12-04,2.377095,2.497306,2.355206,2.426164,2.426164,64735726.0
278,2022-12-03,2.449749,2.515767,2.282022,2.377077,2.377077,74862991.0
277,2022-12-02,2.244649,2.493913,2.184117,2.449019,2.449019,151033245.0
276,2022-12-01,2.098733,2.28309,2.040179,2.24439,2.24439,100269445.0
275,2022-11-30,2.085153,2.133588,2.011226,2.098381,2.098381,50554486.0
274,2022-11-29,2.014131,2.084636,1.994946,2.084636,2.084636,42564970.0
273,2022-11-28,1.987946,2.149654,1.899619,2.014066,2.014066,74945154.0
272,2022-11-27,2.010574,2.045967,1.880819,1.987546,1.987546,65803120.0
271,2022-11-26,2.087624,2.135309,2.010668,2.010668,2.010668,37229890.0
270,2022-11-25,2.1534,2.337507,2.072974,2.087862,2.087862,89782130.0
269,2022-11-24,2.183004,2.250975,2.130608,2.152703,2.152703,55212158.0
268,2022-11-23,2.197303,2.23093,2.106234,2.183032,2.183032,66580381.0
267,2022-11-22,1.978546,2.30111,1.915725,2.197583,2.197583,138259095.0
266,2022-11-21,1.940744,2.08202,1.859423,1.98001,1.98001,116133301.0
265,2022-11-20,2.182962,2.182969,1.907356,1.940324,1.940324,140619079.0
264,2022-11-19,2.31293,2.438584,2.149223,2.183167,2.183167,139150318.0
263,2022-11-18,2.118446,2.37494,2.118446,2.312806,2.312806,191664421.0
262,2022-11-17,2.190832,2.339118,2.067876,2.118353,2.118353,203962167.0
261,2022-11-16,1.952961,2.394864,1.833593,2.191417,2.191417,387444597.0
260,2022-11-15,2.26853,2.419738,1.944855,1.949815,1.949815,274420358.0
259,2022-11-14,1.905898,2.709171,1.826354,2.268125,2.268125,581138847.0
258,2022-11-13,1.445104,2.313735,1.39338,1.903141,1.903141,607394629.0
257,2022-11-12,1.193175,1.447651,1.136558,1.444777,1.444777,71376910.0
256,2022-11-11,1.180916,1.198235,1.122728,1.192492,1.192492,19318165.0
255,2022-11-10,1.045288,1.190833,1.036324,1.181246,1.181246,25288300.0
254,2022-11-09,1.15951,1.208114,1.004577,1.045781,1.045781,40147223.0
253,2022-11-08,1.178537,1.239566,1.085163,1.159384,1.159384,39172097.0
252,2022-11-07,1.177184,1.192739,1.155521,1.178495,1.178495,8880794.0
251,2022-11-06,1.20464,1.21808,1.177062,1.177223,1.177223,7631159.0
250,2022-11-05,1.223365,1.227835,1.204614,1.204614,1.204614,7563628.0
249,2022-11-04,1.157042,1.231678,1.154727,1.223424,1.223424,13014265.0
248,2022-11-03,1.166817,1.196421,1.155067,1.156984,1.156984,9413889.0
247,2022-11-02,1.20145,1.207943,1.135093,1.166751,1.166751,15853396.0
246,2022-11-01,1.232203,1.245239,1.199419,1.201485,1.201485,10007885.0
245,2022-10-31,1.18843,1.264367,1.180886,1.232254,1.232254,24703695.0
244,2022-10-30,1.145917,1.19202,1.14275,1.188328,1.188328,10090154.0
243,2022-10-29,1.148781,1.163904,1.134981,1.145826,1.145826,8810209.0
242,2022-10-28,1.133239,1.157923,1.107307,1.148692,1.148692,10871541.0
241,2022-10-27,1.182699,1.190322,1.132126,1.13342,1.13342,12329509.0
240,2022-10-26,1.113776,1.194394,1.113176,1.182544,1.182544,18155851.0
