,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,6.444987,6.613414,6.419969,6.58813,6.58813,72032760.0
364,2023-02-27,6.605671,6.638597,6.388793,6.444539,6.444539,71220183.0
363,2023-02-26,6.466195,6.644555,6.43637,6.60629,6.60629,52933916.0
362,2023-02-25,6.572527,6.61393,6.312692,6.466004,6.466004,74237616.0
361,2023-02-24,6.942792,7.036246,6.502792,6.571439,6.571439,110361353.0
360,2023-02-23,6.932555,7.041115,6.843788,6.942908,6.942908,85723728.0
359,2023-02-22,7.030492,7.042657,6.732193,6.932859,6.932859,109159068.0
358,2023-02-21,7.349327,7.421506,6.932186,7.030327,7.030327,132623139.0
357,2023-02-20,7.20014,7.359496,7.080849,7.34931,7.34931,134132185.0
356,2023-02-19,6.982279,7.553263,6.974838,7.195788,7.195788,258133545.0
355,2023-02-18,6.732042,7.116005,6.731058,6.983601,6.983601,176201912.0
354,2023-02-17,6.494295,6.817709,6.46897,6.732182,6.732182,133287510.0
353,2023-02-16,6.931662,7.003746,6.489465,6.495247,6.495247,154903820.0
352,2023-02-15,6.581845,6.935355,6.507764,6.931797,6.931797,109358767.0
351,2023-02-14,6.254049,6.581146,6.233801,6.58098,6.58098,94216646.0
350,2023-02-13,6.343367,6.371177,6.112155,6.254118,6.254118,115768817.0
349,2023-02-12,6.483378,6.546191,6.31721,6.343625,6.343625,59784030.0
348,2023-02-11,6.361789,6.494567,6.343647,6.483412,6.483412,63764867.0
347,2023-02-10,6.317662,6.464967,6.267419,6.360616,6.360616,116563554.0
346,2023-02-09,6.800732,6.857967,6.23793,6.317118,6.317118,239086629.0
345,2023-02-08,6.984937,7.042425,6.621959,6.799746,6.799746,139932554.0
344,2023-02-07,6.652653,6.997312,6.649284,6.984529,6.984529,118898674.0
343,2023-02-06,6.899173,6.96028,6.62324,6.652495,6.652495,122095873.0
342,2023-02-05,7.2042,7.312471,6.787405,6.89931,6.89931,141896975.0
341,2023-02-04,7.071139,7.330946,7.035992,7.204175,7.204175,115928547.0
340,2023-02-03,7.10201,7.264792,6.968627,7.071822,7.071822,194514026.0
339,2023-02-02,6.80982,7.500268,6.80982,7.102803,7.102803,256063512.0
338,2023-02-01,6.566696,6.902089,6.34534,6.812751,6.812751,130456451.0
337,2023-01-31,6.508892,6.642961,6.455914,6.568031,6.568031,82184082.0
336,2023-01-30,6.923823,6.996074,6.394145,6.508925,6.508925,126616065.0
