,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.0001,1.000182,0.999798,0.999977,0.999977,2899189248.0
364,2023-02-27,1.000125,1.000466,0.999631,1.000075,1.000075,3267016287.0
363,2023-02-26,1.000114,1.000308,0.999679,1.000136,1.000136,2507543870.0
362,2023-02-25,1.000056,1.000287,0.999666,1.000287,1.000287,2686817523.0
361,2023-02-24,1.000076,1.000334,0.999431,1.000045,1.000045,4261268706.0
360,2023-02-23,1.000153,1.000436,0.999517,1.000083,1.000083,4056250193.0
359,2023-02-22,1.000097,1.000388,0.99959,1.000145,1.000145,4388750217.0
358,2023-02-21,1.000121,1.00021,0.999513,1.000064,1.000064,4145675499.0
357,2023-02-20,0.999962,1.000321,0.999474,1.000143,1.000143,3456245956.0
356,2023-02-19,0.99998,1.000289,0.999467,0.999897,0.999897,3217361040.0
355,2023-02-18,0.999984,1.000306,0.999724,0.999887,0.999887,2724755647.0
354,2023-02-17,0.999831,1.000491,0.999566,0.999935,0.999935,4696979332.0
353,2023-02-16,1.000011,1.000436,0.999479,0.999858,0.999858,5620785014.0
352,2023-02-15,1.000066,1.000503,0.999644,1.000071,1.000071,4265639806.0
351,2023-02-14,1.000112,1.000534,0.999562,1.000057,1.000057,4219254344.0
350,2023-02-13,1.000134,1.000388,0.99943,1.000095,1.000095,4929525447.0
349,2023-02-12,0.999978,1.000457,0.999588,1.000066,1.000066,2523403098.0
348,2023-02-11,1.000005,1.000296,0.999584,0.999977,0.999977,2420063116.0
347,2023-02-10,1.000116,1.000384,0.999501,1.000031,1.000031,3672886124.0
346,2023-02-09,1.000024,1.000502,0.999462,1.000122,1.000122,4476731490.0
345,2023-02-08,1.000011,1.000277,0.999531,1.000012,1.000012,3602936283.0
344,2023-02-07,0.999839,1.00032,0.999477,0.999993,0.999993,3694028407.0
343,2023-02-06,0.99996,1.000459,0.999501,0.999928,0.999928,3098238993.0
342,2023-02-05,0.999884,1.000307,0.999176,0.999954,0.999954,2929555475.0
341,2023-02-04,0.999981,1.000292,0.999669,0.999921,0.999921,2476218901.0
340,2023-02-03,0.999789,1.000493,0.999665,1.000035,1.000035,3432403396.0
339,2023-02-02,1.000087,1.000455,0.99937,0.999775,0.999775,4233203635.0
338,2023-02-01,1.000017,1.000771,0.999525,1.00015,1.00015,3454788463.0
337,2023-01-31,1.000021,1.000431,0.99965,1.000058,1.000058,2960609713.0
336,2023-01-30,1.000075,1.000333,0.999503,1.000101,1.000101,3562976035.0
335,2023-01-29,1.000114,1.000393,0.999655,1.000001,1.000001,2963258500.0
334,2023-01-28,0.999982,1.000265,0.999635,1.00013,1.00013,2554816547.0
333,2023-01-27,0.99998,1.000388,0.99958,1.000027,1.000027,3615689955.0
332,2023-01-26,1.000029,1.000339,0.999628,0.99996,0.99996,3258930502.0
331,2023-01-25,0.999933,1.000506,0.9995,1.000062,1.000062,4154869647.0
330,2023-01-24,0.999826,1.000321,0.999089,0.999958,0.999958,3576076257.0
329,2023-01-23,0.999837,1.000426,0.999423,0.999858,0.999858,3419783936.0
328,2023-01-22,0.999861,1.000386,0.999431,0.999976,0.999976,3227947507.0
327,2023-01-21,1.000298,1.000505,0.999143,0.99984,0.99984,3742948234.0
326,2023-01-20,1.000042,1.000681,0.999667,1.000265,1.000265,3444375885.0
325,2023-01-19,0.999796,1.000308,0.999743,1.000024,1.000024,3098920631.0
324,2023-01-18,0.999808,1.000684,0.999392,0.999845,0.999845,4209476194.0
323,2023-01-17,1.000008,1.000358,0.999618,0.99981,0.99981,2965132328.0
322,2023-01-16,0.9999,1.000495,0.999627,0.999962,0.999962,2899726940.0
321,2023-01-15,1.000105,1.000313,0.999545,0.999926,0.999926,2635965361.0
320,2023-01-14,1.000181,1.000785,0.99939,1.000084,1.000084,4297415658.0
319,2023-01-13,1.000081,1.000538,0.999606,1.000247,1.000247,3509707746.0
318,2023-01-12,1.00032,1.000447,0.999277,1.000072,1.000072,4571366092.0
317,2023-01-11,1.000008,1.000384,0.999702,1.000132,1.000132,2801305360.0
316,2023-01-10,1.000005,1.000235,0.999706,0.999987,0.999987,2630571530.0
315,2023-01-09,1.000238,1.000358,0.999588,1.000046,1.000046,3646138496.0
314,2023-01-08,0.999945,1.000364,0.999833,1.000196,1.000196,1788498969.0
313,2023-01-07,1.000015,1.000327,0.999878,0.999982,0.999982,1570732742.0
312,2023-01-06,1.000008,1.000343,0.999796,1.000013,1.000013,2361812755.0
311,2023-01-05,1.000011,1.000217,0.999806,1.000021,1.000021,2080129330.0
310,2023-01-04,1.000109,1.000302,0.999738,1.000004,1.000004,2402538600.0
309,2023-01-03,1.00001,1.000251,0.999709,1.000098,1.000098,2006189065.0
308,2023-01-02,1.000014,1.000217,0.999848,0.999989,0.999989,1562545140.0
307,2023-01-01,1.000022,1.000362,0.999854,0.999993,0.999993,1197927576.0
306,2022-12-31,1.000196,1.000341,0.999877,1.000029,1.000029,1329559200.0
305,2022-12-30,1.000102,1.000296,0.999852,1.000121,1.000121,1879667314.0
304,2022-12-29,1.000157,1.000331,0.999783,1.000138,1.000138,1972864413.0
303,2022-12-28,1.000128,1.000244,0.999771,1.000185,1.000185,2210122747.0
302,2022-12-27,1.000104,1.000272,0.999698,1.000169,1.000169,1696141537.0
301,2022-12-26,1.00011,1.000196,0.999854,1.000103,1.000103,1442718612.0
300,2022-12-25,1.000029,1.000215,0.999755,1.000082,1.000082,1380163674.0
299,2022-12-24,1.000013,1.000234,0.999918,1.000046,1.000046,915340746.0
298,2022-12-23,1.00012,1.000271,0.999786,1.000034,1.000034,1885345751.0
297,2022-12-22,1.00004,1.000343,0.999506,1.00011,1.00011,1850998745.0
296,2022-12-21,0.999987,1.00027,0.999736,1.000096,1.000096,1950566712.0
295,2022-12-20,1.00019,1.000443,0.999763,0.999991,0.999991,2562520190.0
294,2022-12-19,0.999792,1.00025,0.999346,1.000191,1.000191,2366552622.0
293,2022-12-18,1.000019,1.000266,0.999633,0.999761,0.999761,1068964229.0
292,2022-12-17,0.999899,1.00041,0.999403,1.00002,1.00002,2160638041.0
291,2022-12-16,1.000006,1.000246,0.999343,0.999901,0.999901,3154403231.0
290,2022-12-15,1.00004,1.000249,0.99957,1.000015,1.000015,2460794466.0
