,Date,Open,High,Low,Close,Adj Close,Volume
302,2023-02-28,0.997196,0.997367,0.99501,0.996375,0.996375,20457566.0
301,2023-02-27,0.997782,0.998279,0.994873,0.997067,0.997067,24547487.0
300,2023-02-26,0.997084,0.998279,0.995328,0.998155,0.998155,28436250.0
299,2023-02-25,0.996346,0.997968,0.994858,0.997246,0.997246,23168980.0
298,2023-02-24,0.996566,0.997537,0.994752,0.996555,0.996555,25202247.0
297,2023-02-23,0.996579,0.997912,0.994405,0.996538,0.996538,20633617.0
296,2023-02-22,0.997123,0.998324,0.995009,0.996459,0.996459,21432822.0
295,2023-02-21,0.997981,0.998774,0.99553,0.997256,0.997256,31300709.0
294,2023-02-20,0.998245,0.998956,0.995128,0.997962,0.997962,19624037.0
293,2023-02-19,0.997541,0.998986,0.995962,0.997532,0.997532,24526294.0
292,2023-02-18,0.999351,1.000519,0.996395,0.997637,0.997637,65866467.0
291,2023-02-17,0.998024,1.00132,0.997016,0.999529,0.999529,68581019.0
290,2023-02-16,0.991358,0.999596,0.989353,0.997881,0.997881,138195073.0
289,2023-02-15,0.987021,0.992365,0.986061,0.991339,0.991339,62656921.0
288,2023-02-14,0.991155,0.992203,0.985396,0.987104,0.987104,31700143.0
287,2023-02-13,0.991789,0.992206,0.988604,0.991266,0.991266,22005124.0
286,2023-02-12,0.991044,0.994463,0.990023,0.991506,0.991506,15406878.0
285,2023-02-11,0.991324,0.993514,0.98904,0.990915,0.990915,15177499.0
284,2023-02-10,0.990049,0.993078,0.989035,0.991519,0.991519,16092297.0
283,2023-02-09,0.990598,0.992113,0.98783,0.989888,0.989888,23227168.0
282,2023-02-08,0.992354,0.992926,0.989409,0.990466,0.990466,18609210.0
281,2023-02-07,0.991101,0.993543,0.990395,0.99241,0.99241,17129798.0
280,2023-02-06,0.992593,0.993387,0.98946,0.991411,0.991411,15816788.0
279,2023-02-05,0.994705,0.99583,0.990826,0.992601,0.992601,22720177.0
278,2023-02-04,0.99403,0.995841,0.992593,0.99433,0.99433,22941567.0
277,2023-02-03,0.994936,0.995667,0.991269,0.994131,0.994131,18023792.0
276,2023-02-02,0.993368,0.996861,0.992927,0.994899,0.994899,27826825.0
275,2023-02-01,0.992364,0.995133,0.988597,0.993651,0.993651,30977750.0
274,2023-01-31,0.991486,0.993668,0.989923,0.992376,0.992376,18022647.0
273,2023-01-30,0.992925,0.993737,0.989372,0.991521,0.991521,16075361.0
272,2023-01-29,0.991435,0.994642,0.989204,0.992476,0.992476,26007005.0
271,2023-01-28,0.989866,0.991143,0.987512,0.991121,0.991121,14948938.0
270,2023-01-27,0.987703,0.99144,0.985655,0.990068,0.990068,19256861.0
269,2023-01-26,0.985708,0.990579,0.984277,0.987866,0.987866,22250383.0
268,2023-01-25,0.988391,0.988391,0.984606,0.985565,0.985565,13810785.0
267,2023-01-24,0.984003,0.990088,0.982621,0.988383,0.988383,30231996.0
266,2023-01-23,0.981227,0.986876,0.979261,0.984481,0.984481,32379284.0
265,2023-01-22,0.976167,0.984231,0.975884,0.981232,0.981232,21398993.0
264,2023-01-21,0.973023,0.97986,0.971792,0.976199,0.976199,23365920.0
263,2023-01-20,0.973208,0.973721,0.969878,0.973068,0.973068,13970277.0
262,2023-01-19,0.972888,0.974492,0.971404,0.973517,0.973517,15006466.0
261,2023-01-18,0.975192,0.978575,0.972028,0.972946,0.972946,17170160.0
260,2023-01-17,0.974,0.97873,0.971929,0.975292,0.975292,32676361.0
259,2023-01-16,0.97488,0.976598,0.97114,0.973593,0.973593,10465036.0
258,2023-01-15,0.973511,0.976549,0.97013,0.975477,0.975477,12415983.0
257,2023-01-14,0.982232,0.985158,0.968828,0.973426,0.973426,57279567.0
256,2023-01-13,0.979211,0.984298,0.977925,0.982507,0.982507,11949737.0
255,2023-01-12,0.979453,0.981348,0.976599,0.9797,0.9797,10691067.0
254,2023-01-11,0.979176,0.981441,0.975428,0.978414,0.978414,9026510.0
