,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.000426,1.001611,0.998381,1.000256,1.000256,1378642.0
364,2023-02-27,1.001804,1.003944,0.997126,1.000397,1.000397,1713552.0
363,2023-02-26,0.998557,1.0031,0.99763,1.001767,1.001767,846293.0
362,2023-02-25,0.994975,0.998619,0.992922,0.998619,0.998619,940154.0
361,2023-02-24,1.000054,1.001795,0.993546,0.994941,0.994941,2260004.0
360,2023-02-23,1.001475,1.003584,0.998049,1.000089,1.000089,2178354.0
359,2023-02-22,0.998979,1.001519,0.992186,1.001373,1.001373,3870545.0
358,2023-02-21,1.000317,1.002683,0.996687,0.998896,0.998896,2306674.0
357,2023-02-20,0.997028,1.001693,0.994952,1.000234,1.000234,1912500.0
356,2023-02-19,1.001694,1.002788,0.996773,0.99727,0.99727,1799254.0
355,2023-02-18,1.001428,1.003175,1.000274,1.001645,1.001645,1465418.0
354,2023-02-17,0.993287,1.00318,0.993239,1.001469,1.001469,1976949.0
353,2023-02-16,0.998638,1.000298,0.991042,0.993223,0.993223,3738047.0
352,2023-02-15,0.998678,1.004647,0.996221,0.998647,0.998647,4101555.0
351,2023-02-14,1.000178,1.002788,0.996434,0.998514,0.998514,4697629.0
350,2023-02-13,0.998586,1.000894,0.996358,1.000121,1.000121,8811231.0
349,2023-02-12,1.001503,1.001504,0.998404,0.998543,0.998543,942487.0
348,2023-02-11,0.998572,1.001524,0.997921,1.001401,1.001401,1859834.0
347,2023-02-10,0.998465,1.000136,0.996349,0.998599,0.998599,2686227.0
346,2023-02-09,1.000425,1.000696,0.996322,0.998443,0.998443,2786607.0
345,2023-02-08,1.004442,1.006469,0.999764,1.000377,1.000377,1620445.0
344,2023-02-07,0.99853,1.004923,0.998379,1.004535,1.004535,1828424.0
343,2023-02-06,0.999753,1.002251,0.997657,0.99849,0.99849,2075952.0
342,2023-02-05,1.003011,1.003593,0.998182,0.999769,0.999769,1205781.0
341,2023-02-04,1.003864,1.005623,1.000487,1.003021,1.003021,978529.0
340,2023-02-03,0.999619,1.005531,0.999035,1.003955,1.003955,1689093.0
339,2023-02-02,0.999161,1.008648,0.998486,0.999597,0.999597,2313193.0
338,2023-02-01,1.004979,1.008859,0.998681,0.999146,0.999146,1426251.0
337,2023-01-31,0.999687,1.006049,0.999024,1.00497,1.00497,1540415.0
336,2023-01-30,1.000336,1.009212,0.997504,0.999774,0.999774,1900322.0
335,2023-01-29,1.005537,1.010282,0.999641,1.000315,1.000315,1543632.0
334,2023-01-28,1.006452,1.008353,1.004734,1.005566,1.005566,1543807.0
333,2023-01-27,1.005662,1.008456,1.002105,1.006423,1.006423,2335569.0
332,2023-01-26,0.998166,1.007029,0.997497,1.005656,1.005656,1641530.0
331,2023-01-25,0.994688,1.00333,0.991919,0.998214,0.998214,1968362.0
330,2023-01-24,0.99744,0.999273,0.993549,0.994556,0.994556,1570175.0
329,2023-01-23,1.00128,1.002983,0.997068,0.997425,0.997425,1905228.0
328,2023-01-22,0.998629,1.004813,0.996183,1.001309,1.001309,1283709.0
327,2023-01-21,1.003933,1.004883,0.995795,0.998561,0.998561,2302820.0
326,2023-01-20,1.000835,1.006512,0.999404,1.00397,1.00397,2210252.0
325,2023-01-19,0.998894,1.001853,0.997099,1.000827,1.000827,1638827.0
324,2023-01-18,1.002254,1.007878,0.998854,0.998854,0.998854,1733800.0
323,2023-01-17,1.003017,1.007712,1.000992,1.002198,1.002198,2119165.0
322,2023-01-16,1.001571,1.005373,0.996646,1.002985,1.002985,1590222.0
321,2023-01-15,0.99839,1.007314,0.993635,1.001594,1.001594,1325625.0
320,2023-01-14,1.001705,1.00355,0.992689,0.998399,0.998399,2458151.0
319,2023-01-13,0.998316,1.006975,0.994525,1.00177,1.00177,2176094.0
318,2023-01-12,1.002627,1.004864,0.993884,0.998304,0.998304,2009651.0
317,2023-01-11,1.001623,1.009354,1.000908,1.001785,1.001785,2016444.0
316,2023-01-10,0.997017,1.002085,0.995173,1.00164,1.00164,1596118.0
315,2023-01-09,0.999678,1.003886,0.994964,0.997041,0.997041,1800008.0
314,2023-01-08,0.998016,1.000033,0.995118,0.999739,0.999739,788634.0
313,2023-01-07,0.997926,0.99936,0.99472,0.998009,0.998009,768914.0
312,2023-01-06,0.999726,1.000676,0.99456,0.997856,0.997856,1662161.0
311,2023-01-05,1.005478,1.009678,0.999115,0.999256,0.999256,1212309.0
310,2023-01-04,0.997534,1.009189,0.993455,1.005479,1.005479,1380685.0
309,2023-01-03,0.998503,0.998839,0.994003,0.997534,0.997534,1286483.0
308,2023-01-02,0.99894,0.999821,0.995243,0.998446,0.998446,756727.0
307,2023-01-01,0.998121,1.000541,0.995111,0.998946,0.998946,674247.0
306,2022-12-31,0.99814,0.998716,0.994791,0.998104,0.998104,603372.0
305,2022-12-30,0.998755,0.998896,0.991679,0.998062,0.998062,1074370.0
304,2022-12-29,0.998094,1.004542,0.992011,0.998773,0.998773,1545584.0
303,2022-12-28,0.996444,0.998139,0.996263,0.998102,0.998102,1351584.0
302,2022-12-27,1.000684,1.001771,0.996069,0.996471,0.996471,948483.0
301,2022-12-26,0.995673,1.001816,0.995673,1.000635,1.000635,988073.0
300,2022-12-25,0.997353,0.997823,0.994329,0.995581,0.995581,757344.0
299,2022-12-24,1.003578,1.003834,0.996468,0.99735,0.99735,438054.0
298,2022-12-23,1.000731,1.004018,0.99903,1.003578,1.003578,1138335.0
297,2022-12-22,1.004385,1.0047,0.99648,1.000735,1.000735,916409.0
296,2022-12-21,1.003937,1.004375,1.001424,1.004347,1.004347,1156604.0
295,2022-12-20,0.994904,1.009161,0.994032,1.003994,1.003994,1113393.0
294,2022-12-19,0.999376,1.003983,0.991846,0.994898,0.994898,1194345.0
293,2022-12-18,0.996699,1.002429,0.996613,0.999361,0.999361,681189.0
292,2022-12-17,0.995475,0.999353,0.994042,0.996652,0.996652,1838418.0
291,2022-12-16,0.996662,1.002481,0.987623,0.995554,0.995554,2455497.0
290,2022-12-15,1.003752,1.003752,0.996477,0.996642,0.996642,1244648.0
289,2022-12-14,1.000741,1.007865,0.997707,1.003578,1.003578,1967333.0
288,2022-12-13,1.000553,1.00704,0.996871,1.000705,1.000705,4706615.0
287,2022-12-12,0.998992,1.002098,0.996676,1.000572,1.000572,2110459.0
286,2022-12-11,1.000811,1.002253,0.9988,0.998988,0.998988,635444.0
285,2022-12-10,1.001474,1.001474,0.999038,1.000811,1.000811,770270.0
284,2022-12-09,1.002572,1.003229,1.000021,1.001459,1.001459,987608.0
283,2022-12-08,0.995559,1.006747,0.993263,1.002635,1.002635,1588114.0
282,2022-12-07,1.002809,1.005342,0.994146,0.995554,0.995554,1264807.0
281,2022-12-06,0.997799,1.002911,0.996373,1.002911,1.002911,1214497.0
280,2022-12-05,0.998383,1.004918,0.996009,0.997802,0.997802,1412437.0
279,2022-12-04,0.996349,1.003921,0.995076,0.998472,0.998472,872023.0
278,2022-12-03,1.000524,1.001823,0.993354,0.996203,0.996203,924071.0
