,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.000114,1.000244,1.000087,1.000118,1.000118,27901462528.0
364,2023-02-27,1.00008,1.000196,1.000047,1.000175,1.000175,31170898346.0
363,2023-02-26,1.000132,1.000176,1.000052,1.000087,1.000087,23103836401.0
362,2023-02-25,1.000072,1.000175,1.00005,1.000132,1.000132,25281973906.0
361,2023-02-24,1.000117,1.000227,1.000025,1.00007,1.00007,39747788121.0
360,2023-02-23,1.000096,1.000216,1.000059,1.000124,1.000124,40733371959.0
359,2023-02-22,1.000146,1.000368,1.000068,1.000099,1.000099,43805622619.0
358,2023-02-21,1.000181,1.000223,1.000078,1.000132,1.000132,45397558230.0
357,2023-02-20,1.000248,1.000283,1.000117,1.000187,1.000187,44403471554.0
356,2023-02-19,1.000181,1.000291,1.000155,1.000237,1.000237,39281755451.0
355,2023-02-18,1.000215,1.000331,1.000145,1.000182,1.000182,30777314971.0
354,2023-02-17,1.000163,1.000244,1.000101,1.000221,1.000221,53478834233.0
353,2023-02-16,1.000225,1.000316,1.000094,1.000163,1.000163,57045633961.0
352,2023-02-15,1.000405,1.000547,1.000177,1.000218,1.000218,44524116301.0
351,2023-02-14,1.000923,1.001134,1.000355,1.000404,1.000404,40374822815.0
350,2023-02-13,1.000213,1.002496,1.000167,1.000933,1.000933,41054083637.0
349,2023-02-12,1.000147,1.000286,1.000108,1.00021,1.00021,24662650244.0
348,2023-02-11,1.000211,1.000257,1.00009,1.000163,1.000163,22803314101.0
347,2023-02-10,1.000157,1.000365,1.000116,1.000153,1.000153,37581182134.0
346,2023-02-09,1.000129,1.000267,1.000032,1.000159,1.000159,47895876169.0
345,2023-02-08,1.000088,1.000243,1.000039,1.000131,1.000131,39133872723.0
344,2023-02-07,1.000096,1.000274,1.00003,1.000077,1.000077,39183502892.0
343,2023-02-06,1.000209,1.000274,1.000067,1.000102,1.000102,32088027094.0
342,2023-02-05,1.000093,1.000268,1.000089,1.000198,1.000198,30313569702.0
341,2023-02-04,1.000122,1.000162,1.000054,1.0001,1.0001,24493083193.0
340,2023-02-03,1.000142,1.000276,1.000078,1.000131,1.000131,36792033814.0
339,2023-02-02,1.000088,1.000328,1.000083,1.00014,1.00014,43575657052.0
338,2023-02-01,1.000138,1.000238,1.000048,1.000098,1.000098,36688644471.0
337,2023-01-31,1.000081,1.000169,0.999994,1.000117,1.000117,31416134222.0
336,2023-01-30,1.000089,1.000157,1.000037,1.000093,1.000093,37178895589.0
335,2023-01-29,1.000202,1.00031,1.000092,1.000099,1.000099,33570913369.0
334,2023-01-28,1.000176,1.000297,1.000132,1.000194,1.000194,23967491540.0
333,2023-01-27,1.000088,1.000279,1.000055,1.000182,1.000182,34658058512.0
332,2023-01-26,1.000193,1.000269,1.00006,1.000082,1.000082,34910787321.0
331,2023-01-25,1.000129,1.000299,1.000093,1.000175,1.000175,39242817276.0
330,2023-01-24,1.000201,1.000328,1.000082,1.00013,1.00013,34777970359.0
329,2023-01-23,1.00022,1.000246,1.000091,1.000204,1.000204,35271449760.0
328,2023-01-22,1.000224,1.000267,1.00013,1.000234,1.000234,32852491605.0
327,2023-01-21,1.000183,1.000409,1.000128,1.000217,1.000217,40470629184.0
326,2023-01-20,1.000006,1.000243,0.999974,1.000179,1.000179,33794858528.0
325,2023-01-19,0.99999,1.000095,0.999947,1.000023,1.000023,25966707878.0
324,2023-01-18,1.000106,1.000297,0.999972,0.99999,0.99999,40496222408.0
323,2023-01-17,1.00013,1.000283,1.000061,1.000103,1.000103,32250868598.0
322,2023-01-16,1.000348,1.000452,1.00009,1.000126,1.000126,35957366329.0
321,2023-01-15,1.000144,1.000503,1.000114,1.000374,1.000374,30028224816.0
320,2023-01-14,1.000207,1.000403,1.000119,1.000157,1.000157,53708266585.0
319,2023-01-13,1.000121,1.000219,1.000043,1.000214,1.000214,35704375577.0
318,2023-01-12,1.000061,1.00015,0.999965,1.000092,1.000092,41556485542.0
317,2023-01-11,1.000094,1.000161,0.999967,1.000019,1.000019,25576360686.0
316,2023-01-10,0.999997,1.00014,0.999921,1.0001,1.0001,23843949758.0
315,2023-01-09,0.999945,1.000069,0.9999,0.999999,0.999999,31331363115.0
