,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.028106,0.028118,0.027299,0.02775,0.02775,50212828.0
364,2023-02-27,0.028221,0.029254,0.027611,0.028122,0.028122,76821909.0
363,2023-02-26,0.026946,0.028544,0.026676,0.028221,0.028221,57252864.0
362,2023-02-25,0.027731,0.027982,0.026189,0.026944,0.026944,58270972.0
361,2023-02-24,0.02976,0.029855,0.027411,0.02773,0.02773,71576059.0
360,2023-02-23,0.029538,0.031257,0.029215,0.029758,0.029758,90913172.0
359,2023-02-22,0.030167,0.030338,0.028254,0.029536,0.029536,86850448.0
358,2023-02-21,0.031865,0.032202,0.029822,0.030167,0.030167,143220635.0
357,2023-02-20,0.028687,0.032447,0.028585,0.031853,0.031853,232999071.0
356,2023-02-19,0.027172,0.030838,0.02712,0.028667,0.028667,210367135.0
355,2023-02-18,0.027664,0.028344,0.026922,0.027177,0.027177,75886318.0
354,2023-02-17,0.024369,0.028428,0.024289,0.027663,0.027663,145370005.0
353,2023-02-16,0.025644,0.026004,0.024355,0.024371,0.024371,81662994.0
352,2023-02-15,0.023838,0.025653,0.023512,0.025642,0.025642,58706325.0
351,2023-02-14,0.023013,0.023961,0.022673,0.023837,0.023837,54465338.0
350,2023-02-13,0.023565,0.023631,0.022192,0.02302,0.02302,52185049.0
349,2023-02-12,0.023905,0.024541,0.023369,0.023565,0.023565,44127539.0
348,2023-02-11,0.023606,0.023977,0.023324,0.023907,0.023907,38136217.0
347,2023-02-10,0.023257,0.024382,0.023196,0.023617,0.023617,59044354.0
346,2023-02-09,0.025724,0.026427,0.022948,0.023256,0.023256,96993812.0
345,2023-02-08,0.025966,0.026667,0.025137,0.025715,0.025715,76846268.0
344,2023-02-07,0.023924,0.026038,0.023881,0.025969,0.025969,68593731.0
343,2023-02-06,0.02424,0.024634,0.023661,0.023928,0.023928,47310695.0
342,2023-02-05,0.024909,0.024993,0.023916,0.024242,0.024242,63166293.0
341,2023-02-04,0.024826,0.025233,0.02446,0.02491,0.02491,47818305.0
