,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,304.593018,305.870819,301.253357,303.567902,303.567902,103854840.0
364,2023-02-27,307.811829,309.281555,300.421143,303.661652,303.661652,85521273.0
363,2023-02-26,301.717133,309.758911,300.433289,309.182739,309.182739,72868012.0
362,2023-02-25,302.048248,303.056396,296.58783,302.357758,302.357758,77827546.0
361,2023-02-24,307.916809,311.840637,298.680237,302.048248,302.048248,98761758.0
360,2023-02-23,312.868713,315.178223,305.816589,307.916809,307.916809,85755485.0
359,2023-02-22,310.731171,312.953094,303.228271,312.953094,312.953094,126684495.0
358,2023-02-21,315.503113,317.37027,309.407013,310.746399,310.746399,120382354.0
357,2023-02-20,311.851776,319.713776,308.985657,315.443878,315.443878,135441385.0
356,2023-02-19,316.766968,318.646027,310.528656,312.609375,312.609375,106599518.0
355,2023-02-18,312.829498,318.802582,312.829498,316.803497,316.803497,115669870.0
354,2023-02-17,305.432129,317.012024,303.255188,312.829498,312.829498,155248363.0
353,2023-02-16,316.864838,326.347137,304.200562,305.163544,305.163544,188943825.0
352,2023-02-15,296.036346,317.617371,294.196686,316.868927,316.868927,137898799.0
351,2023-02-14,294.579895,301.134796,290.107452,297.387146,297.387146,107905540.0
350,2023-02-13,311.932007,315.397064,283.655609,294.639862,294.639862,171799589.0
349,2023-02-12,310.86618,320.575897,306.30661,313.036072,313.036072,89807466.0
348,2023-02-11,306.332855,312.04245,304.887421,311.931946,311.931946,67239744.0
347,2023-02-10,306.216248,309.335236,302.962555,305.700165,305.700165,95093980.0
346,2023-02-09,328.677338,329.174164,303.131714,306.110168,306.110168,151865204.0
345,2023-02-08,333.043335,335.430054,324.3526,328.745422,328.745422,117505222.0
344,2023-02-07,325.505646,333.66922,323.510468,332.492035,332.492035,115437912.0
343,2023-02-06,328.277374,330.851563,321.303253,324.829926,324.829926,95270966.0
342,2023-02-05,329.563446,337.935852,324.318451,327.687164,327.687164,112083781.0
341,2023-02-04,331.159454,333.895538,327.555115,330.019135,330.019135,89174076.0
340,2023-02-03,324.348633,334.292297,319.01355,332.303162,332.303162,121402655.0
339,2023-02-02,318.116943,332.935577,316.193634,324.22113,324.22113,133273972.0
338,2023-02-01,312.203003,319.238434,305.822662,318.137543,318.137543,109247460.0
337,2023-01-31,307.036407,314.09021,305.338806,312.24707,312.24707,110394270.0
336,2023-01-30,317.624298,320.589996,303.109009,305.979858,305.979858,122707625.0
