,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,23484.775391,23542.302734,23221.771484,23454.742188,23454.742188,157203968.0
364,2023-02-27,23549.509766,23828.841797,23176.175781,23483.894531,23483.894531,181933077.0
363,2023-02-26,23154.914063,23629.666016,23078.929688,23553.865234,23553.865234,182844666.0
362,2023-02-25,23185.021484,23201.888672,22813.677734,23159.710938,23159.710938,188173642.0
361,2023-02-24,23921.800781,24096.177734,22981.435547,23185.857422,23185.857422,199430948.0
360,2023-02-23,24158.40625,24534.984375,23696.384766,23922.476563,23922.476563,208757813.0
359,2023-02-22,24407.746094,24455.242188,23631.943359,24155.726563,24155.726563,218852331.0
358,2023-02-21,24798.824219,25086.720703,24181.210938,24416.259766,24416.259766,229432715.0
357,2023-02-20,24308.515625,25004.314453,23914.417969,24794.925781,24794.925781,220574924.0
356,2023-02-19,24614.650391,25055.943359,24309.894531,24309.894531,24309.894531,183602246.0
355,2023-02-18,24552.714844,24788.375,24444.277344,24611.546875,24611.546875,157066230.0
354,2023-02-17,23632.058594,24836.542969,23505.148438,24547.224609,24547.224609,277705685.0
353,2023-02-16,24272.111328,25054.638672,23632.208984,23632.208984,23632.208984,258568900.0
352,2023-02-15,22228.705078,24278.316406,22078.564453,24273.976563,24273.976563,219197924.0
351,2023-02-14,21803.783203,22268.945313,21601.820313,22233.175781,22233.175781,164077875.0
350,2023-02-13,21770.376953,21876.792969,21426.080078,21797.568359,21797.568359,171880305.0
349,2023-02-12,21843.027344,22038.822266,21633.738281,21769.78125,21769.78125,117436500.0
348,2023-02-11,21608.263672,21868.984375,21568.675781,21846.808594,21846.808594,133224981.0
347,2023-02-10,21801.558594,21909.152344,21490.761719,21599.322266,21599.322266,182654988.0
346,2023-02-09,22927.558594,22989.966797,21738.689453,21796.488281,21796.488281,226851117.0
345,2023-02-08,23271.066406,23393.554688,22707.8125,22924.236328,22924.236328,122217432.0
344,2023-02-07,22705.884766,23295.763672,22705.884766,23263.550781,23263.550781,110769160.0
343,2023-02-06,22942.783203,23104.822266,22638.666016,22716.886719,22716.886719,120983083.0
342,2023-02-05,23300.517578,23390.146484,22800.03125,22946.037109,22946.037109,94927574.0
341,2023-02-04,23433.119141,23564.837891,23263.601563,23303.595703,23303.595703,107058075.0
340,2023-02-03,23432.539063,23665.28125,23279.833984,23430.949219,23430.949219,126428534.0
339,2023-02-02,23689.554688,24139.404297,23433.570313,23434.087891,23434.087891,162783695.0
338,2023-02-01,23086.369141,23744.689453,22828.988281,23695.445313,23695.445313,112536391.0
337,2023-01-31,22781.740234,23153.371094,22705.351563,23091.787109,23091.787109,86386560.0
336,2023-01-30,23739.964844,23743.535156,22582.304688,22779.080078,22779.080078,158282400.0
335,2023-01-29,22975.607422,23854.146484,22926.304688,23743.615234,23743.615234,149345492.0
334,2023-01-28,23034.787109,23130.296875,22824.494141,22974.748047,22974.748047,80470057.0
333,2023-01-27,22979.746094,23361.882813,22602.535156,23040.152344,23040.152344,135388518.0
332,2023-01-26,23095.664063,23189.980469,22857.347656,22983.683594,22983.683594,140194689.0
331,2023-01-25,22549.560547,23618.677734,22309.109375,23095.837891,23095.837891,272030031.0
330,2023-01-24,22862.505859,23081.255859,22480.837891,22555.585938,22555.585938,216681200.0
329,2023-01-23,22654.269531,23054.896484,22597.400391,22869.732422,22869.732422,121193181.0
328,2023-01-22,22728.111328,23003.548828,22364.140625,22658.837891,22658.837891,112070383.0
327,2023-01-21,22613.789063,23216.826172,22472.996094,22722.214844,22722.214844,204137594.0
326,2023-01-20,21064.796875,22617.501953,20908.220703,22603.564453,22603.564453,115965685.0
325,2023-01-19,20630.333984,21126.414063,20630.333984,21067.082031,21067.082031,75788322.0
324,2023-01-18,21124.574219,21535.185547,20471.123047,20632.871094,20632.871094,153183953.0
323,2023-01-17,21137.59375,21417.300781,20943.638672,21133.412109,21133.412109,89908137.0
322,2023-01-16,20854.845703,21334.433594,20703.496094,21134.330078,21134.330078,140091520.0
321,2023-01-15,20957.421875,20977.845703,20596.455078,20854.367188,20854.367188,78529456.0
320,2023-01-14,19817.785156,21008.923828,19803.90625,20955.677734,20955.677734,310307585.0
319,2023-01-13,18807.628906,19856.833984,18692.453125,19813.568359,19813.568359,194688921.0
318,2023-01-12,18088.337891,18950.048828,17965.423828,18809.291016,18809.291016,191058807.0
317,2023-01-11,17413.626953,17883.585938,17317.675781,17883.585938,17883.585938,79114219.0
316,2023-01-10,17189.742188,17454.191406,17151.289063,17414.423828,17414.423828,50990507.0
315,2023-01-09,17078.517578,17369.234375,17078.517578,17189.605469,17189.605469,153178514.0
314,2023-01-08,16939.390625,17086.195313,16893.71875,17086.195313,17086.195313,29125556.0
313,2023-01-07,16937.476563,16960.394531,16880.839844,16932.853516,16932.853516,19472402.0
312,2023-01-06,16807.6875,16961.105469,16700.011719,16935.648438,16935.648438,52794240.0
311,2023-01-05,16846.849609,16869.878906,16742.933594,16812.716797,16812.716797,27261696.0
310,2023-01-04,16661.013672,16921.322266,16629.835938,16845.671875,16845.671875,69283291.0
309,2023-01-03,16661.0,16728.654297,16589.115234,16660.253906,16660.253906,28296160.0
308,2023-01-02,16561.501953,16724.748047,16507.298828,16659.056641,16659.056641,43003000.0
307,2023-01-01,16501.072266,16574.273438,16471.777344,16561.123047,16561.123047,31584913.0
306,2022-12-31,16556.625,16597.775391,16466.441406,16499.876953,16499.876953,30604702.0
305,2022-12-30,16587.791016,16597.402344,16373.279297,16555.056641,16555.056641,36065676.0
304,2022-12-29,16492.150391,16601.951172,16455.878906,16587.517578,16587.517578,45193687.0
303,2022-12-28,16652.988281,16690.740234,16436.798828,16492.261719,16492.261719,74874022.0
302,2022-12-27,16894.695313,16929.730469,16606.732422,16658.078125,16658.078125,95910862.0
301,2022-12-26,16814.103516,16895.025391,16775.480469,16893.095703,16893.095703,40409848.0
300,2022-12-25,16815.03125,16827.371094,16704.734375,16806.873047,16806.873047,53230517.0
299,2022-12-24,16773.785156,16841.878906,16773.394531,16815.369141,16815.369141,20760624.0
298,2022-12-23,16804.738281,16858.460938,16748.359375,16773.722656,16773.722656,51427425.0
297,2022-12-22,16786.207031,16848.910156,16565.984375,16808.132813,16808.132813,92001675.0
296,2022-12-21,16858.240234,16870.886719,16739.816406,16786.517578,16786.517578,58390475.0
295,2022-12-20,16425.707031,16965.707031,16402.423828,16858.767578,16858.767578,166800692.0
294,2022-12-19,16715.46875,16780.601563,16337.339844,16424.996094,16424.996094,79491921.0
293,2022-12-18,16755.603516,16790.433594,16649.154297,16715.345703,16715.345703,64359584.0
292,2022-12-17,16577.15625,16759.498047,16550.933594,16755.515625,16755.515625,81590709.0
291,2022-12-16,17333.882813,17469.0,16507.767578,16576.271484,16576.271484,142651840.0
290,2022-12-15,17785.492188,17817.195313,17303.326172,17332.519531,17332.519531,102804707.0
289,2022-12-14,17750.447266,18251.535156,17730.136719,17778.40625,17778.40625,131259373.0
288,2022-12-13,17173.398438,17905.703125,17036.626953,17749.054688,17749.054688,112275678.0
287,2022-12-12,17063.501953,17179.269531,16856.341797,17174.740234,17174.740234,66532835.0
286,2022-12-11,17100.560547,17218.570313,17045.427734,17063.798828,17063.798828,34298991.0
285,2022-12-10,17095.621094,17184.615234,17083.734375,17100.744141,17100.744141,37885273.0
284,2022-12-09,17201.464844,17247.5625,17047.927734,17095.169922,17095.169922,60813947.0
283,2022-12-08,16805.560547,17238.992188,16744.59375,17202.580078,17202.580078,87135403.0
282,2022-12-07,17051.802734,17075.970703,16668.681641,16806.115234,16806.115234,63558496.0
281,2022-12-06,16933.085938,17053.648438,16877.378906,17049.558594,17049.558594,56802708.0
280,2022-12-05,17107.798828,17330.541016,16871.935547,16931.138672,16931.138672,110092825.0
279,2022-12-04,16833.544922,17113.716797,16825.070313,17099.966797,17099.966797,56135045.0
278,2022-12-03,17058.119141,17088.09375,16783.691406,16832.888672,16832.888672,91153612.0
277,2022-12-02,16942.769531,17055.015625,16820.609375,17054.449219,17054.449219,91104461.0
276,2022-12-01,17129.486328,17168.859375,16876.425781,16937.027344,16937.027344,84280308.0
275,2022-11-30,16399.484375,17156.902344,16399.095703,17131.083984,17131.083984,151924746.0
274,2022-11-29,16167.554688,16487.890625,16079.920898,16399.310547,16399.310547,77873407.0
273,2022-11-28,16326.209961,16384.730469,15993.441406,16164.119141,16164.119141,106891436.0
272,2022-11-27,16348.710938,16514.076172,16321.171875,16326.883789,16326.883789,134637157.0
271,2022-11-26,16288.77832,16521.447266,16288.296875,16348.989258,16348.989258,231177008.0
270,2022-11-25,16496.220703,16497.089844,16228.854492,16289.800781,16289.800781,409657227.0
269,2022-11-24,16557.900391,16723.263672,16416.443359,16498.65625,16498.65625,149059820.0
268,2022-11-23,16140.676758,16576.070313,16094.467773,16552.429688,16552.429688,149561340.0
267,2022-11-22,15719.691406,16181.106445,15573.475586,16137.171875,16137.171875,179175117.0
266,2022-11-21,16188.069336,16192.192383,15518.87793,15717.170898,15717.170898,286389830.0
265,2022-11-20,16664.371094,16703.105469,16151.52832,16188.704102,16188.704102,373895478.0
264,2022-11-19,16637.300781,16744.458984,16515.476563,16665.978516,16665.978516,129426087.0
263,2022-11-18,16618.335938,16899.896484,16527.5,16639.974609,16639.974609,82457365.0
262,2022-11-17,16622.138672,16682.939453,16399.603516,16616.638672,16616.638672,144802085.0
261,2022-11-16,16850.957031,16930.347656,16366.451172,16622.076172,16622.076172,149019436.0
260,2022-11-15,16583.351563,17009.326172,16517.082031,16845.757813,16845.757813,109465784.0
259,2022-11-14,16340.517578,17039.570313,15860.712891,16587.521484,16587.521484,168229319.0
258,2022-11-13,16771.007813,16889.669922,16302.069336,16336.493164,16336.493164,109989691.0
257,2022-11-12,17025.462891,17042.677734,16628.25,16765.701172,16765.701172,156803710.0
256,2022-11-11,17560.306641,17620.683594,16522.865234,17022.169922,17022.169922,241126960.0
255,2022-11-10,15819.12207,17972.818359,15791.135742,17562.277344,17562.277344,425790086.0
254,2022-11-09,18516.601563,18574.058594,15624.020508,15825.541016,15825.541016,414173785.0
253,2022-11-08,20573.068359,20646.722656,17475.150391,18522.058594,18522.058594,359305063.0
252,2022-11-07,20917.941406,21048.019531,20471.294922,20573.423828,20573.423828,112866267.0
251,2022-11-06,21293.248047,21348.597656,20895.349609,20911.617188,20911.617188,68456530.0
250,2022-11-05,21147.986328,21440.435547,21098.125,21290.414063,21290.414063,60096728.0
249,2022-11-04,20218.400391,21202.669922,20183.908203,21153.080078,21153.080078,144732815.0
248,2022-11-03,20169.380859,20383.388672,20093.773438,20217.439453,20217.439453,95787931.0
247,2022-11-02,20482.128906,20728.386719,20101.638672,20169.277344,20169.277344,166842443.0
246,2022-11-01,20496.833984,20649.380859,20356.167969,20483.25,20483.25,94896794.0
245,2022-10-31,20629.201172,20800.195313,20286.931641,20496.966797,20496.966797,121009625.0
244,2022-10-30,20817.501953,20914.808594,20534.642578,20627.908203,20627.908203,93667530.0
243,2022-10-29,20603.082031,20979.607422,20569.126953,20818.646484,20818.646484,127539850.0
242,2022-10-28,20278.123047,20718.789063,20087.28125,20602.65625,20602.65625,139614014.0
241,2022-10-27,20761.482422,20854.828125,20244.617188,20281.128906,20281.128906,148574021.0
240,2022-10-26,20100.720703,20907.285156,20076.175781,20757.933594,20757.933594,185487222.0
239,2022-10-25,19323.730469,20335.328125,19253.763672,20105.273438,20105.273438,209820812.0
238,2022-10-24,19584.865234,19606.382813,19210.751953,19324.527344,19324.527344,129191756.0
237,2022-10-23,19193.632813,19647.890625,19117.791016,19577.394531,19577.394531,103272820.0
236,2022-10-22,19182.082031,19240.029297,19127.476563,19193.802734,19193.802734,69828641.0
235,2022-10-21,19032.201172,19234.78125,18746.443359,19182.328125,19182.328125,83884032.0
234,2022-10-20,19105.792969,19290.501953,18969.470703,19030.433594,19030.433594,84309370.0
233,2022-10-19,19325.742188,19338.164063,19098.634766,19118.283203,19118.283203,106397027.0
232,2022-10-18,19545.679688,19654.164063,19145.373047,19326.029297,19326.029297,126569764.0
231,2022-10-17,19277.400391,19631.488281,19183.375,19545.578125,19545.578125,127738184.0
230,2022-10-16,19071.394531,19376.859375,19067.146484,19277.474609,19277.474609,61582339.0
229,2022-10-15,19183.441406,19212.236328,19016.259766,19070.882813,19070.882813,63223998.0
228,2022-10-14,19367.119141,19826.849609,19129.736328,19185.929688,19185.929688,138911080.0
227,2022-10-13,19155.396484,19427.099609,18323.716797,19367.666016,19367.666016,155329451.0
226,2022-10-12,19032.416016,19194.203125,19019.208984,19154.726563,19154.726563,78508850.0
225,2022-10-11,19121.5,19225.929688,18924.736328,19031.070313,19031.070313,102982873.0
224,2022-10-10,19446.634766,19520.03125,19086.058594,19122.388672,19122.388672,88144187.0
223,2022-10-09,19406.175781,19533.126953,19355.169922,19445.458984,19445.458984,64542608.0
222,2022-10-08,19555.072266,19600.371094,19294.205078,19401.375,19401.375,55616902.0
221,2022-10-07,19938.605469,20033.773438,19414.033203,19553.982422,19553.982422,105672921.0
220,2022-10-06,20158.013672,20400.224609,19898.599609,19935.871094,19935.871094,119116504.0
219,2022-10-05,20304.339844,20315.074219,19807.724609,20153.693359,20153.693359,107720984.0
218,2022-10-04,19613.240234,20338.478516,19520.533203,20310.615234,20310.615234,133512305.0
217,2022-10-03,19039.042969,19633.996094,18998.939453,19614.763672,19614.763672,111365824.0
216,2022-10-02,19307.59375,19360.279297,18968.708984,19037.027344,19037.027344,73060127.0
215,2022-10-01,19428.521484,19467.025391,19229.705078,19310.501953,19310.501953,65672713.0
214,2022-09-30,19544.589844,20076.585938,19267.716797,19427.693359,19427.693359,153992898.0
213,2022-09-29,19432.972656,19568.552734,18920.998047,19548.410156,19548.410156,148988408.0
212,2022-09-28,19106.744141,19653.925781,18559.324219,19436.46875,19436.46875,179364520.0
211,2022-09-27,19220.695313,20320.166016,18918.5625,19108.830078,19108.830078,173725101.0
210,2022-09-26,18794.755859,19246.355469,18705.734375,19215.148438,19215.148438,137640779.0
209,2022-09-25,18915.9375,19121.189453,18689.537109,18794.292969,18794.292969,98935925.0
208,2022-09-24,19257.8125,19276.802734,18854.318359,18913.789063,18913.789063,140949239.0
207,2022-09-23,19392.953125,19466.0625,18612.445313,19253.166016,19253.166016,247048662.0
206,2022-09-22,18515.916016,19435.119141,18413.40625,19393.519531,19393.519531,285411475.0
205,2022-09-21,18889.931641,19620.089844,18274.083984,18520.990234,18520.990234,241248567.0
204,2022-09-20,19534.537109,19591.472656,18834.515625,18886.580078,18886.580078,163392464.0
203,2022-09-19,19405.308594,19619.626953,18405.408203,19547.679688,19547.679688,259572132.0
202,2022-09-18,20121.712891,20121.712891,19362.542969,19396.013672,19396.013672,151570186.0
201,2022-09-17,19754.193359,20149.152344,19743.839844,20115.001953,20115.001953,119520438.0
200,2022-09-16,19693.560547,19869.208984,19416.775391,19747.736328,19747.736328,179182543.0
199,2022-09-15,20250.480469,20275.298828,19647.875,19700.357422,19700.357422,284318365.0
198,2022-09-14,20162.1875,20382.341797,19844.669922,20252.703125,20252.703125,186309257.0
197,2022-09-13,22329.814453,22585.316406,20117.222656,20241.925781,20241.925781,324411711.0
196,2022-09-12,21734.009766,22363.667969,21642.685547,22329.320313,22329.320313,203171727.0
195,2022-09-11,21681.095703,21734.798828,21423.150391,21733.271484,21733.271484,125949466.0
194,2022-09-10,21366.382813,21728.517578,21220.203125,21683.439453,21683.439453,128483251.0
193,2022-09-09,19318.746094,21367.509766,19303.263672,21367.509766,21367.509766,242619947.0
192,2022-09-08,19276.501953,19400.433594,19116.970703,19320.974609,19320.974609,131467026.0
191,2022-09-07,18862.712891,19356.337891,18626.818359,19277.099609,19277.099609,207411028.0
190,2022-09-06,19818.548828,20162.691406,18845.886719,18854.548828,18854.548828,226893146.0
