,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,2.32278,2.32278,2.083289,2.158783,2.158783,19415354.0
364,2023-02-27,2.427071,2.430887,2.266759,2.323546,2.323546,12376761.0
363,2023-02-26,2.375929,2.444119,2.348432,2.427091,2.427091,9312294.0
362,2023-02-25,2.427642,2.45051,2.235968,2.374684,2.374684,15597005.0
361,2023-02-24,2.52146,2.541773,2.392585,2.427268,2.427268,14800727.0
360,2023-02-23,2.552592,2.575686,2.47512,2.520398,2.520398,16324000.0
359,2023-02-22,2.626455,2.63731,2.384735,2.552327,2.552327,21964133.0
358,2023-02-21,2.441476,2.728868,2.309815,2.625346,2.625346,42997636.0
357,2023-02-20,1.94461,2.468762,1.934548,2.441347,2.441347,26005896.0
356,2023-02-19,1.874229,1.985519,1.874229,1.944733,1.944733,10791511.0
355,2023-02-18,1.954555,1.993073,1.86678,1.874903,1.874903,10185215.0
354,2023-02-17,1.748564,1.997804,1.746501,1.954715,1.954715,20218324.0
353,2023-02-16,1.44262,1.993868,1.440358,1.747758,1.747758,44201214.0
352,2023-02-15,1.289276,1.449925,1.27226,1.444165,1.444165,8893706.0
351,2023-02-14,1.217511,1.314654,1.159338,1.288768,1.288768,8494536.0
350,2023-02-13,1.064681,1.224405,1.03515,1.217172,1.217172,10415293.0
349,2023-02-12,1.155686,1.165316,1.052597,1.064855,1.064855,6598502.0
348,2023-02-11,1.066383,1.198175,1.063804,1.155241,1.155241,8145802.0
347,2023-02-10,1.105002,1.106202,0.883883,1.066465,1.066465,11453668.0
346,2023-02-09,1.391139,1.400374,1.057454,1.105122,1.105122,11154349.0
345,2023-02-08,1.444672,1.476186,1.347652,1.39106,1.39106,6847185.0
344,2023-02-07,1.383665,1.447015,1.376766,1.444546,1.444546,6659684.0
343,2023-02-06,1.396494,1.423303,1.294272,1.383509,1.383509,7704720.0
342,2023-02-05,1.449965,1.51303,1.305351,1.399031,1.399031,11563769.0
341,2023-02-04,1.202842,1.551599,1.201792,1.449497,1.449497,12440014.0
340,2023-02-03,0.913253,1.205166,0.911021,1.202754,1.202754,8027169.0
339,2023-02-02,0.829576,0.941276,0.82147,0.913862,0.913862,4517803.0
338,2023-02-01,0.80505,0.83327,0.793235,0.829327,0.829327,6355681.0
337,2023-01-31,0.788104,0.833476,0.770182,0.805035,0.805035,5385675.0
336,2023-01-30,0.805325,0.845246,0.766723,0.788083,0.788083,3617558.0
335,2023-01-29,0.746158,0.814551,0.746158,0.805148,0.805148,3104782.0
334,2023-01-28,0.770443,0.771218,0.736528,0.746631,0.746631,3009803.0
333,2023-01-27,0.691086,0.774508,0.660967,0.770337,0.770337,5005776.0
332,2023-01-26,0.644012,0.722585,0.641833,0.690382,0.690382,5723030.0
331,2023-01-25,0.623008,0.647712,0.583929,0.643917,0.643917,4426405.0
330,2023-01-24,0.743051,0.753473,0.615305,0.622341,0.622341,4764934.0
329,2023-01-23,0.557772,0.750406,0.554759,0.743667,0.743667,5661097.0
328,2023-01-22,0.522075,0.56768,0.515355,0.55716,0.55716,2150991.0
327,2023-01-21,0.492304,0.544745,0.484108,0.523424,0.523424,2113376.0
326,2023-01-20,0.44821,0.497649,0.447495,0.492625,0.492625,2676803.0
325,2023-01-19,0.441958,0.449593,0.435602,0.448338,0.448338,2661237.0
324,2023-01-18,0.438967,0.460044,0.432394,0.442032,0.442032,1503732.0
323,2023-01-17,0.447373,0.452749,0.427032,0.438457,0.438457,1434012.0
322,2023-01-16,0.468064,0.468064,0.429018,0.447395,0.447395,2071406.0
321,2023-01-15,0.391586,0.47892,0.385636,0.46858,0.46858,2514228.0
320,2023-01-14,0.365284,0.393427,0.365284,0.39147,0.39147,2175152.0
319,2023-01-13,0.361111,0.365643,0.358783,0.365317,0.365317,1447506.0
318,2023-01-12,0.359639,0.362802,0.359586,0.361072,0.361072,1484596.0
317,2023-01-11,0.362458,0.363868,0.357535,0.359062,0.359062,1271594.0
316,2023-01-10,0.361712,0.362802,0.359002,0.362541,0.362541,965681.0
315,2023-01-09,0.355153,0.364615,0.355153,0.361938,0.361938,1267453.0
314,2023-01-08,0.359442,0.360069,0.353198,0.355273,0.355273,905825.0
313,2023-01-07,0.360475,0.36161,0.353828,0.359597,0.359597,1253218.0
312,2023-01-06,0.366579,0.370719,0.355832,0.36042,0.36042,1471297.0
311,2023-01-05,0.361187,0.368712,0.356281,0.366471,0.366471,1323803.0
310,2023-01-04,0.35908,0.366035,0.35581,0.361061,0.361061,1046341.0
309,2023-01-03,0.362368,0.363216,0.356418,0.35908,0.35908,677834.0
308,2023-01-02,0.362184,0.364641,0.357485,0.362543,0.362543,816029.0
307,2023-01-01,0.364034,0.364792,0.355112,0.362182,0.362182,520774.0
306,2022-12-31,0.357099,0.364867,0.356297,0.364124,0.364124,562629.0
305,2022-12-30,0.359469,0.362311,0.349836,0.356993,0.356993,1157977.0
304,2022-12-29,0.357363,0.363239,0.354968,0.359511,0.359511,894367.0
303,2022-12-28,0.368309,0.368309,0.351954,0.357769,0.357769,1073162.0
302,2022-12-27,0.373131,0.375034,0.359592,0.36838,0.36838,1326715.0
301,2022-12-26,0.369938,0.374725,0.364292,0.373026,0.373026,996990.0
300,2022-12-25,0.369878,0.371673,0.363787,0.369827,0.369827,907070.0
299,2022-12-24,0.370032,0.373587,0.357669,0.369906,0.369906,1178688.0
298,2022-12-23,0.367614,0.372204,0.35348,0.37015,0.37015,1245968.0
297,2022-12-22,0.35007,0.368539,0.348696,0.367661,0.367661,1373826.0
296,2022-12-21,0.351659,0.355035,0.339436,0.350094,0.350094,1156723.0
