,Date,Open,High,Low,Close,Adj Close,Volume
360,2023-02-28,0.068987,0.070289,0.066064,0.067023,0.067023,1997603.0
359,2023-02-27,0.069423,0.070489,0.066801,0.068992,0.068992,2444944.0
358,2023-02-26,0.067067,0.070641,0.066018,0.069428,0.069428,3000069.0
357,2023-02-25,0.068504,0.068856,0.065616,0.067071,0.067071,1953222.0
356,2023-02-24,0.069629,0.070384,0.065718,0.068505,0.068505,1661172.0
355,2023-02-23,0.069283,0.070749,0.066051,0.06963,0.06963,1561680.0
354,2023-02-22,0.068765,0.07064,0.066346,0.069302,0.069302,1768299.0
353,2023-02-21,0.067915,0.072093,0.066888,0.068753,0.068753,2421133.0
352,2023-02-20,0.070399,0.072632,0.066622,0.067915,0.067915,2277170.0
351,2023-02-19,0.069904,0.071264,0.066384,0.07038,0.07038,2358899.0
350,2023-02-18,0.070399,0.070668,0.066521,0.069907,0.069907,1084473.0
349,2023-02-17,0.066723,0.07106,0.065159,0.070403,0.070403,2151380.0
348,2023-02-16,0.069478,0.071125,0.065299,0.066721,0.066721,2746855.0
347,2023-02-15,0.066097,0.070565,0.064754,0.069477,0.069477,2410770.0
346,2023-02-14,0.065088,0.066559,0.064307,0.066098,0.066098,2604940.0
345,2023-02-13,0.063729,0.065197,0.063125,0.06509,0.06509,2369571.0
344,2023-02-12,0.063744,0.064653,0.063221,0.063726,0.063726,918499.0
343,2023-02-11,0.063275,0.063853,0.06301,0.063744,0.063744,723792.0
342,2023-02-10,0.062642,0.063646,0.062534,0.063276,0.063276,1627030.0
341,2023-02-09,0.066887,0.067017,0.062381,0.062636,0.062636,3513317.0
340,2023-02-08,0.065544,0.067877,0.064203,0.066884,0.066884,2787813.0
339,2023-02-07,0.063101,0.066163,0.063039,0.065544,0.065544,1580045.0
338,2023-02-06,0.064131,0.064472,0.062828,0.063108,0.063108,1167750.0
337,2023-02-05,0.063904,0.065638,0.063297,0.064131,0.064131,2074612.0
336,2023-02-04,0.063953,0.064643,0.06295,0.063901,0.063901,1025588.0
335,2023-02-03,0.063756,0.064831,0.063155,0.063958,0.063958,1065551.0
334,2023-02-02,0.06324,0.06519,0.063074,0.063758,0.063758,1947106.0
333,2023-02-01,0.06249,0.063322,0.061517,0.063244,0.063244,1176577.0
332,2023-01-31,0.062223,0.062961,0.062025,0.062493,0.062493,1145026.0
331,2023-01-30,0.0637,0.064076,0.061686,0.062223,0.062223,1878657.0
330,2023-01-29,0.063131,0.064124,0.062845,0.063694,0.063694,1431869.0
329,2023-01-28,0.063653,0.064072,0.062347,0.063125,0.063125,1230505.0
328,2023-01-27,0.061977,0.06435,0.061318,0.063655,0.063655,4157398.0
327,2023-01-26,0.061776,0.06218,0.061295,0.061973,0.061973,1042449.0
