,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,3.5e-05,3.5e-05,3.4e-05,3.5e-05,3.5e-05,8594113.0
364,2023-02-27,3.5e-05,3.6e-05,3.5e-05,3.5e-05,3.5e-05,9773101.0
363,2023-02-26,3.5e-05,3.6e-05,3.4e-05,3.5e-05,3.5e-05,7143550.0
362,2023-02-25,3.5e-05,3.5e-05,3.4e-05,3.5e-05,3.5e-05,9371483.0
361,2023-02-24,3.7e-05,3.7e-05,3.5e-05,3.5e-05,3.5e-05,13382000.0
360,2023-02-23,3.7e-05,3.8e-05,3.6e-05,3.7e-05,3.7e-05,14465377.0
359,2023-02-22,3.9e-05,3.9e-05,3.6e-05,3.7e-05,3.7e-05,25271445.0
358,2023-02-21,3.8e-05,4.1e-05,3.8e-05,3.9e-05,3.9e-05,78092117.0
357,2023-02-20,3.6e-05,3.8e-05,3.5e-05,3.8e-05,3.8e-05,25033384.0
356,2023-02-19,3.6e-05,3.7e-05,3.6e-05,3.6e-05,3.6e-05,15844194.0
355,2023-02-18,3.6e-05,3.7e-05,3.6e-05,3.6e-05,3.6e-05,13764713.0
354,2023-02-17,3.4e-05,3.7e-05,3.4e-05,3.6e-05,3.6e-05,12141603.0
353,2023-02-16,3.6e-05,3.7e-05,3.4e-05,3.4e-05,3.4e-05,20094119.0
352,2023-02-15,3.4e-05,3.6e-05,3.3e-05,3.6e-05,3.6e-05,12458578.0
351,2023-02-14,3.3e-05,3.4e-05,3.2e-05,3.4e-05,3.4e-05,9668334.0
350,2023-02-13,3.4e-05,3.4e-05,3.2e-05,3.3e-05,3.3e-05,10444000.0
349,2023-02-12,3.5e-05,3.5e-05,3.4e-05,3.4e-05,3.4e-05,6949389.0
348,2023-02-11,3.4e-05,3.5e-05,3.4e-05,3.5e-05,3.5e-05,6704571.0
347,2023-02-10,3.4e-05,3.5e-05,3.4e-05,3.4e-05,3.4e-05,11805130.0
346,2023-02-09,3.7e-05,3.8e-05,3.4e-05,3.4e-05,3.4e-05,17943649.0
345,2023-02-08,3.8e-05,3.8e-05,3.7e-05,3.8e-05,3.8e-05,16842402.0
344,2023-02-07,3.6e-05,3.8e-05,3.6e-05,3.8e-05,3.8e-05,24734706.0
343,2023-02-06,3.7e-05,3.8e-05,3.6e-05,3.6e-05,3.6e-05,21966315.0
342,2023-02-05,3.8e-05,4e-05,3.6e-05,3.7e-05,3.7e-05,37586140.0
341,2023-02-04,3.7e-05,4.1e-05,3.7e-05,3.8e-05,3.8e-05,59685735.0
340,2023-02-03,3.7e-05,3.8e-05,3.7e-05,3.8e-05,3.8e-05,17410880.0
339,2023-02-02,3.7e-05,3.9e-05,3.6e-05,3.7e-05,3.7e-05,39995050.0
338,2023-02-01,3.6e-05,3.7e-05,3.4e-05,3.7e-05,3.7e-05,16855061.0
337,2023-01-31,3.4e-05,3.6e-05,3.4e-05,3.6e-05,3.6e-05,27228319.0
336,2023-01-30,3.8e-05,3.8e-05,3.4e-05,3.4e-05,3.4e-05,18609251.0
335,2023-01-29,3.7e-05,3.8e-05,3.7e-05,3.8e-05,3.8e-05,14448970.0
334,2023-01-28,3.9e-05,4e-05,3.7e-05,3.7e-05,3.7e-05,26722407.0
333,2023-01-27,4.2e-05,4.4e-05,3.9e-05,3.9e-05,3.9e-05,111721398.0
332,2023-01-26,3.5e-05,4.4e-05,3.5e-05,4.2e-05,4.2e-05,379154079.0
331,2023-01-25,3.3e-05,3.5e-05,3.2e-05,3.5e-05,3.5e-05,22545462.0
330,2023-01-24,3.3e-05,3.5e-05,3.2e-05,3.3e-05,3.3e-05,33428010.0
329,2023-01-23,3e-05,3.5e-05,3e-05,3.3e-05,3.3e-05,80932316.0
328,2023-01-22,3e-05,3.1e-05,3e-05,3e-05,3e-05,11415285.0
327,2023-01-21,3.1e-05,3.1e-05,3e-05,3e-05,3e-05,13163096.0
326,2023-01-20,2.9e-05,3.1e-05,2.8e-05,3.1e-05,3.1e-05,9615936.0
325,2023-01-19,2.8e-05,2.9e-05,2.8e-05,2.9e-05,2.9e-05,11572861.0
324,2023-01-18,3e-05,3.2e-05,2.8e-05,2.8e-05,2.8e-05,57158859.0
323,2023-01-17,3e-05,3.1e-05,2.9e-05,3e-05,3e-05,10357264.0
322,2023-01-16,3e-05,3.1e-05,2.9e-05,3e-05,3e-05,12040429.0
321,2023-01-15,2.9e-05,3.1e-05,2.9e-05,3e-05,3e-05,27603946.0
320,2023-01-14,2.8e-05,3e-05,2.8e-05,2.9e-05,2.9e-05,22805209.0
319,2023-01-13,2.7e-05,2.8e-05,2.7e-05,2.8e-05,2.8e-05,10343538.0
318,2023-01-12,2.7e-05,2.7e-05,2.6e-05,2.7e-05,2.7e-05,12066239.0
317,2023-01-11,2.5e-05,2.7e-05,2.5e-05,2.7e-05,2.7e-05,9638416.0
316,2023-01-10,2.5e-05,2.6e-05,2.5e-05,2.5e-05,2.5e-05,8857360.0
315,2023-01-09,2.5e-05,2.6e-05,2.4e-05,2.5e-05,2.5e-05,12891890.0
314,2023-01-08,2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.5e-05,5219042.0
313,2023-01-07,2.5e-05,2.5e-05,2.4e-05,2.4e-05,2.4e-05,7624755.0
312,2023-01-06,2.5e-05,2.5e-05,2.3e-05,2.5e-05,2.5e-05,10935836.0
311,2023-01-05,2.3e-05,2.7e-05,2.3e-05,2.5e-05,2.5e-05,55373464.0
310,2023-01-04,2.2e-05,2.4e-05,2.2e-05,2.3e-05,2.3e-05,10899069.0
309,2023-01-03,2.2e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,5492839.0
308,2023-01-02,2.2e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,4127342.0
307,2023-01-01,2.2e-05,2.2e-05,2.2e-05,2.2e-05,2.2e-05,3203641.0
306,2022-12-31,2.2e-05,2.2e-05,2.1e-05,2.2e-05,2.2e-05,3839360.0
305,2022-12-30,2.2e-05,2.2e-05,2.1e-05,2.2e-05,2.2e-05,5320109.0
304,2022-12-29,2.2e-05,2.2e-05,2.1e-05,2.2e-05,2.2e-05,6490567.0
303,2022-12-28,2.3e-05,2.3e-05,2.2e-05,2.2e-05,2.2e-05,7726837.0
302,2022-12-27,2.4e-05,2.4e-05,2.3e-05,2.3e-05,2.3e-05,6040510.0
301,2022-12-26,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,6751277.0
300,2022-12-25,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,3220532.0
299,2022-12-24,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2625395.0
298,2022-12-23,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,3616761.0
297,2022-12-22,2.4e-05,2.4e-05,2.3e-05,2.4e-05,2.4e-05,4027260.0
296,2022-12-21,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,4287379.0
