,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.060946,0.062398,0.052346,0.054121,0.054121,213840016.0
364,2023-02-27,0.041307,0.064061,0.041307,0.06199,0.06199,471024353.0
363,2023-02-26,0.040585,0.041492,0.040493,0.041307,0.041307,9463795.0
362,2023-02-25,0.041178,0.041437,0.039706,0.040587,0.040587,9646844.0
361,2023-02-24,0.042471,0.043066,0.040534,0.041182,0.041182,12255595.0
360,2023-02-23,0.043291,0.043594,0.042082,0.042472,0.042472,11895522.0
359,2023-02-22,0.044674,0.044708,0.041911,0.0433,0.0433,16608089.0
358,2023-02-21,0.043843,0.047925,0.04219,0.044661,0.044661,50683644.0
357,2023-02-20,0.041362,0.043973,0.040724,0.043827,0.043827,17322399.0
356,2023-02-19,0.041612,0.042258,0.040758,0.041363,0.041363,10356265.0
355,2023-02-18,0.040769,0.042058,0.0406,0.041612,0.041612,12736533.0
354,2023-02-17,0.038757,0.041173,0.038614,0.040761,0.040761,8817596.0
353,2023-02-16,0.040583,0.041746,0.038686,0.038753,0.038753,15093727.0
352,2023-02-15,0.037383,0.04058,0.036983,0.04058,0.04058,10488153.0
351,2023-02-14,0.036587,0.037418,0.036043,0.037378,0.037378,7458675.0
350,2023-02-13,0.038011,0.038756,0.035764,0.036588,0.036588,11994520.0
349,2023-02-12,0.038371,0.039475,0.037882,0.038015,0.038015,10426365.0
348,2023-02-11,0.03794,0.038429,0.037711,0.038378,0.038378,9098530.0
347,2023-02-10,0.037832,0.038784,0.037723,0.037941,0.037941,14973625.0
346,2023-02-09,0.041359,0.043247,0.037554,0.037846,0.037846,23155934.0
345,2023-02-08,0.042587,0.043596,0.040641,0.041353,0.041353,16167419.0
344,2023-02-07,0.039869,0.042656,0.039869,0.042591,0.042591,21495245.0
343,2023-02-06,0.040654,0.041063,0.039799,0.03987,0.03987,9643932.0
342,2023-02-05,0.040912,0.042027,0.039666,0.040633,0.040633,24298248.0
341,2023-02-04,0.040823,0.041095,0.039915,0.040908,0.040908,7865011.0
340,2023-02-03,0.038382,0.040837,0.038382,0.040827,0.040827,14481832.0
339,2023-02-02,0.038978,0.039774,0.038375,0.038396,0.038396,11540268.0
338,2023-02-01,0.036886,0.039288,0.036019,0.038979,0.038979,26632615.0
337,2023-01-31,0.036442,0.036952,0.036085,0.036893,0.036893,9919225.0
336,2023-01-30,0.039476,0.040576,0.0362,0.036438,0.036438,20907744.0
335,2023-01-29,0.038439,0.040647,0.038404,0.039475,0.039475,23786998.0
334,2023-01-28,0.039641,0.039865,0.038199,0.038431,0.038431,8514955.0
333,2023-01-27,0.038426,0.040366,0.037626,0.039641,0.039641,20656184.0
332,2023-01-26,0.038314,0.038607,0.037545,0.038429,0.038429,9120011.0
331,2023-01-25,0.036686,0.038734,0.035987,0.038319,0.038319,21329588.0
330,2023-01-24,0.038317,0.039171,0.036518,0.036686,0.036686,12028399.0
329,2023-01-23,0.036806,0.038331,0.036762,0.038318,0.038318,12473524.0
328,2023-01-22,0.036595,0.038008,0.036152,0.036805,0.036805,9998592.0
327,2023-01-21,0.03704,0.037547,0.036359,0.036593,0.036593,10852256.0
326,2023-01-20,0.035101,0.037041,0.034989,0.037038,0.037038,10220311.0
325,2023-01-19,0.033953,0.035142,0.033909,0.035115,0.035115,9492704.0
324,2023-01-18,0.036949,0.037475,0.033931,0.033931,0.033931,11239309.0
323,2023-01-17,0.036596,0.037898,0.036265,0.03696,0.03696,13880551.0
322,2023-01-16,0.035886,0.037966,0.035775,0.036582,0.036582,14415632.0
321,2023-01-15,0.035835,0.03645,0.035206,0.035876,0.035876,14906202.0
320,2023-01-14,0.034247,0.036622,0.034161,0.035837,0.035837,13450162.0
319,2023-01-13,0.033041,0.034312,0.032776,0.03424,0.03424,7928234.0
318,2023-01-12,0.032299,0.033316,0.031356,0.03304,0.03304,9627771.0
317,2023-01-11,0.031603,0.031944,0.030718,0.031925,0.031925,6171897.0
316,2023-01-10,0.03105,0.031721,0.030738,0.031612,0.031612,7905763.0
315,2023-01-09,0.029995,0.031714,0.029941,0.031051,0.031051,8540333.0
314,2023-01-08,0.029193,0.029995,0.028968,0.029995,0.029995,5555503.0
313,2023-01-07,0.02915,0.029435,0.029082,0.029191,0.029191,5452145.0
312,2023-01-06,0.029075,0.029177,0.028408,0.029143,0.029143,5909197.0
311,2023-01-05,0.029158,0.029384,0.028945,0.029077,0.029077,5499609.0
310,2023-01-04,0.029081,0.029731,0.029008,0.029163,0.029163,6392044.0
309,2023-01-03,0.02938,0.029443,0.029031,0.029081,0.029081,4871830.0
308,2023-01-02,0.028815,0.029489,0.028591,0.029385,0.029385,4561089.0
307,2023-01-01,0.028519,0.028964,0.028286,0.028817,0.028817,5124431.0
306,2022-12-31,0.028134,0.028755,0.02803,0.02852,0.02852,5338660.0
305,2022-12-30,0.02821,0.028215,0.027592,0.028135,0.028135,5817688.0
304,2022-12-29,0.028205,0.028441,0.027833,0.028221,0.028221,5848059.0
303,2022-12-28,0.029139,0.029165,0.027925,0.028205,0.028205,9341167.0
302,2022-12-27,0.029386,0.029459,0.028895,0.029134,0.029134,6071825.0
301,2022-12-26,0.029801,0.029821,0.029029,0.029376,0.029376,8600332.0
300,2022-12-25,0.030162,0.030218,0.029734,0.029802,0.029802,7369759.0
299,2022-12-24,0.030308,0.030536,0.030151,0.030161,0.030161,6913875.0
298,2022-12-23,0.030336,0.03039,0.030062,0.030324,0.030324,7426762.0
297,2022-12-22,0.029752,0.030688,0.029682,0.030328,0.030328,13483452.0
296,2022-12-21,0.030342,0.030342,0.029554,0.029743,0.029743,8231968.0
295,2022-12-20,0.029065,0.030522,0.029029,0.030346,0.030346,7591033.0
294,2022-12-19,0.030541,0.030652,0.028856,0.029057,0.029057,9688859.0
293,2022-12-18,0.030463,0.030905,0.029984,0.030548,0.030548,6985242.0
292,2022-12-17,0.030018,0.03047,0.029023,0.030463,0.030463,7764529.0
291,2022-12-16,0.03326,0.033305,0.029759,0.030025,0.030025,8771680.0
290,2022-12-15,0.033345,0.034121,0.033215,0.033247,0.033247,15058054.0
289,2022-12-14,0.033906,0.033982,0.033199,0.033349,0.033349,7948626.0
288,2022-12-13,0.033867,0.033914,0.032389,0.033858,0.033858,9649844.0
287,2022-12-12,0.032486,0.034007,0.032168,0.033864,0.033864,18776890.0
286,2022-12-11,0.03314,0.033466,0.032453,0.032494,0.032494,7732765.0
285,2022-12-10,0.033118,0.033236,0.032734,0.033148,0.033148,7608264.0
284,2022-12-09,0.032661,0.033574,0.032661,0.033112,0.033112,14553154.0
283,2022-12-08,0.032068,0.032776,0.03193,0.032662,0.032662,6909543.0
282,2022-12-07,0.032658,0.033474,0.031838,0.032071,0.032071,14764146.0
281,2022-12-06,0.032545,0.032836,0.032497,0.032663,0.032663,6511780.0
280,2022-12-05,0.032887,0.033192,0.032398,0.032528,0.032528,7559160.0
