,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.08845,0.088472,0.087138,0.087749,0.087749,44054124.0
364,2023-02-27,0.088928,0.089286,0.087416,0.088374,0.088374,55434132.0
363,2023-02-26,0.088032,0.088957,0.087278,0.088927,0.088927,39743916.0
362,2023-02-25,0.08911,0.089501,0.086845,0.088042,0.088042,52848594.0
361,2023-02-24,0.091004,0.091569,0.087979,0.089113,0.089113,71973563.0
360,2023-02-23,0.092425,0.093147,0.09059,0.091018,0.091018,59519121.0
359,2023-02-22,0.09485,0.095029,0.09054,0.092434,0.092434,83783596.0
358,2023-02-21,0.094483,0.097711,0.093973,0.094843,0.094843,129504219.0
357,2023-02-20,0.090605,0.09482,0.089421,0.094481,0.094481,86473798.0
356,2023-02-19,0.09207,0.093428,0.090229,0.090579,0.090579,71468382.0
355,2023-02-18,0.090664,0.093062,0.089859,0.092106,0.092106,77919524.0
354,2023-02-17,0.086596,0.090649,0.086198,0.090649,0.090649,65603934.0
353,2023-02-16,0.090167,0.09107,0.086609,0.086627,0.086627,86773947.0
352,2023-02-15,0.08593,0.090166,0.084882,0.090156,0.090156,74014673.0
351,2023-02-14,0.085125,0.085935,0.083373,0.08593,0.08593,54486776.0
350,2023-02-13,0.085071,0.08561,0.082389,0.085136,0.085136,69528829.0
349,2023-02-12,0.086276,0.087161,0.084676,0.085066,0.085066,41728132.0
348,2023-02-11,0.085684,0.086717,0.085302,0.086274,0.086274,34026038.0
347,2023-02-10,0.085526,0.086934,0.085264,0.085681,0.085681,50834850.0
346,2023-02-09,0.090992,0.0913,0.084879,0.085526,0.085526,90603465.0
345,2023-02-08,0.092008,0.092636,0.089948,0.090983,0.090983,70159611.0
344,2023-02-07,0.088869,0.09204,0.088838,0.092015,0.092015,64731385.0
343,2023-02-06,0.090984,0.091661,0.088859,0.088859,0.088859,48047787.0
342,2023-02-05,0.093038,0.093719,0.089996,0.090986,0.090986,57939190.0
341,2023-02-04,0.092828,0.093979,0.092308,0.093033,0.093033,43999885.0
340,2023-02-03,0.091631,0.093179,0.091631,0.092809,0.092809,54056017.0
339,2023-02-02,0.092271,0.094544,0.091498,0.091634,0.091634,73101973.0
338,2023-02-01,0.090737,0.092446,0.087825,0.092276,0.092276,70731137.0
337,2023-01-31,0.089951,0.091474,0.089463,0.090747,0.090747,57213806.0
336,2023-01-30,0.094438,0.094645,0.088959,0.089943,0.089943,69768802.0
335,2023-01-29,0.092751,0.094498,0.092375,0.09444,0.09444,54571772.0
334,2023-01-28,0.092516,0.09404,0.091979,0.09276,0.09276,47094050.0
333,2023-01-27,0.091986,0.093122,0.090276,0.092512,0.092512,55775721.0
332,2023-01-26,0.092448,0.092967,0.091008,0.091986,0.091986,61754311.0
331,2023-01-25,0.090512,0.093828,0.089177,0.092464,0.092464,71658730.0
330,2023-01-24,0.094461,0.095956,0.090108,0.090505,0.090505,80298218.0
329,2023-01-23,0.091038,0.095491,0.090959,0.094478,0.094478,92698305.0
328,2023-01-22,0.090378,0.093473,0.090062,0.091036,0.091036,78358378.0
327,2023-01-21,0.088892,0.092923,0.088241,0.090386,0.090386,96407621.0
326,2023-01-20,0.084395,0.088897,0.083433,0.088886,0.088886,70760039.0
325,2023-01-19,0.082573,0.084518,0.082351,0.08439,0.08439,50986509.0
324,2023-01-18,0.086409,0.08893,0.082499,0.082583,0.082583,80965057.0
323,2023-01-17,0.087782,0.088117,0.086307,0.086397,0.086397,57706349.0
