,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,1.187647,1.193094,1.168318,1.173958,1.173958,22869326.0
364,2023-02-27,1.213548,1.220594,1.170023,1.185458,1.185458,29680919.0
363,2023-02-26,1.196062,1.217147,1.193087,1.21361,1.21361,22801622.0
362,2023-02-25,1.237182,1.246985,1.163942,1.19593,1.19593,32665988.0
361,2023-02-24,1.349408,1.349408,1.222901,1.237063,1.237063,59013962.0
360,2023-02-23,1.437525,1.474476,1.337946,1.348675,1.348675,158954754.0
359,2023-02-22,1.217905,1.442455,1.217905,1.437254,1.437254,304851240.0
358,2023-02-21,1.25755,1.29458,1.203926,1.217797,1.217797,46819282.0
357,2023-02-20,1.189606,1.273709,1.170097,1.257401,1.257401,43359685.0
356,2023-02-19,1.176422,1.21316,1.16816,1.188553,1.188553,31854307.0
355,2023-02-18,1.155891,1.187787,1.150482,1.176574,1.176574,26755622.0
354,2023-02-17,1.092589,1.16352,1.090991,1.155973,1.155973,32030503.0
353,2023-02-16,1.147358,1.171555,1.090676,1.092394,1.092394,29520473.0
352,2023-02-15,1.061767,1.148569,1.053198,1.147474,1.147474,25577334.0
351,2023-02-14,1.039241,1.06227,1.024251,1.061814,1.061814,23264381.0
350,2023-02-13,1.078445,1.080148,1.011666,1.03928,1.03928,27179041.0
349,2023-02-12,1.085692,1.110003,1.069087,1.078463,1.078463,19968446.0
348,2023-02-11,1.087511,1.094596,1.071478,1.085774,1.085774,19299760.0
347,2023-02-10,1.078329,1.102712,1.06521,1.087411,1.087411,28465296.0
346,2023-02-09,1.224825,1.23043,1.064249,1.078219,1.078219,41427119.0
345,2023-02-08,1.216251,1.257975,1.188089,1.224731,1.224731,36531664.0
344,2023-02-07,1.146993,1.216467,1.143501,1.216467,1.216467,31063065.0
343,2023-02-06,1.181883,1.185243,1.143823,1.146942,1.146942,30020147.0
342,2023-02-05,1.165098,1.228103,1.153013,1.18114,1.18114,60582220.0
341,2023-02-04,1.143208,1.174989,1.131761,1.165217,1.165217,30860821.0
340,2023-02-03,1.089241,1.151741,1.089241,1.143176,1.143176,31373037.0
339,2023-02-02,1.095363,1.140151,1.0893,1.08952,1.08952,29943521.0
338,2023-02-01,1.061053,1.096281,1.023555,1.095574,1.095574,28346785.0
337,2023-01-31,1.057597,1.077271,1.052082,1.06139,1.06139,23217577.0
336,2023-01-30,1.160454,1.160617,1.045916,1.057494,1.057494,34855356.0
335,2023-01-29,1.098472,1.178588,1.090761,1.16042,1.16042,55702818.0
334,2023-01-28,1.117859,1.143224,1.090466,1.098451,1.098451,21828710.0
333,2023-01-27,1.093355,1.125108,1.068911,1.11681,1.11681,25898850.0
332,2023-01-26,1.092642,1.113724,1.083445,1.093432,1.093432,22858211.0
331,2023-01-25,1.059375,1.114853,1.032226,1.092874,1.092874,25643678.0
330,2023-01-24,1.114704,1.146807,1.052084,1.059275,1.059275,29523250.0
329,2023-01-23,1.108279,1.128515,1.102309,1.114941,1.114941,27659682.0
328,2023-01-22,1.101971,1.136787,1.088922,1.108318,1.108318,30636915.0
327,2023-01-21,1.066367,1.175276,1.059203,1.101877,1.101877,72771591.0
326,2023-01-20,0.99427,1.066869,0.977172,1.066528,1.066528,23358752.0
325,2023-01-19,0.95718,1.057333,0.95718,0.994124,0.994124,43363827.0
324,2023-01-18,1.020028,1.036921,0.955663,0.957356,0.957356,28524845.0
323,2023-01-17,1.01106,1.058486,0.999367,1.020062,1.020062,24561878.0
322,2023-01-16,1.027368,1.046582,0.998162,1.011065,1.011065,26576304.0
321,2023-01-15,1.006404,1.077952,0.988416,1.027238,1.027238,54561927.0
320,2023-01-14,0.916451,1.035154,0.916451,1.006004,1.006004,53402330.0
319,2023-01-13,0.889189,0.92597,0.879947,0.916469,0.916469,22952261.0
318,2023-01-12,0.871681,0.892336,0.839377,0.88923,0.88923,27431853.0
317,2023-01-11,0.83256,0.857621,0.81043,0.857621,0.857621,20921038.0
316,2023-01-10,0.831103,0.843589,0.823137,0.832568,0.832568,18459569.0
315,2023-01-09,0.821831,0.85176,0.81945,0.831597,0.831597,20124399.0
314,2023-01-08,0.791209,0.824002,0.784812,0.821385,0.821385,12353601.0
313,2023-01-07,0.771301,0.794416,0.770783,0.791106,0.791106,11393270.0
312,2023-01-06,0.761811,0.771473,0.749114,0.771301,0.771301,12828989.0
311,2023-01-05,0.76704,0.775883,0.751355,0.761851,0.761851,13926951.0
310,2023-01-04,0.753731,0.773946,0.751395,0.76699,0.76699,15670693.0
309,2023-01-03,0.739838,0.757865,0.737112,0.753744,0.753744,18043246.0
308,2023-01-02,0.719053,0.74349,0.710926,0.739795,0.739795,14341386.0
307,2023-01-01,0.717433,0.720734,0.708503,0.719059,0.719059,11060139.0
306,2022-12-31,0.722887,0.726505,0.714461,0.71741,0.71741,11604767.0
305,2022-12-30,0.725143,0.730601,0.702864,0.722863,0.722863,15988278.0
304,2022-12-29,0.737116,0.742638,0.713457,0.725145,0.725145,12892517.0
303,2022-12-28,0.772241,0.773955,0.734084,0.73733,0.73733,15960079.0
302,2022-12-27,0.795705,0.796636,0.767022,0.772196,0.772196,12514171.0
301,2022-12-26,0.785984,0.795833,0.784284,0.795761,0.795761,9268183.0
300,2022-12-25,0.800415,0.800415,0.775574,0.78599,0.78599,9409286.0
299,2022-12-24,0.802804,0.806293,0.798777,0.800491,0.800491,9007147.0
298,2022-12-23,0.804724,0.814998,0.798599,0.802727,0.802727,11132304.0
297,2022-12-22,0.805983,0.808989,0.781566,0.804668,0.804668,13033685.0
296,2022-12-21,0.806764,0.808085,0.793469,0.805912,0.805912,12636133.0
295,2022-12-20,0.777357,0.809297,0.776982,0.806816,0.806816,12710518.0
294,2022-12-19,0.837724,0.844813,0.770296,0.777251,0.777251,18698227.0
293,2022-12-18,0.844245,0.848509,0.83195,0.837665,0.837665,12370717.0
