,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,44.212761,44.506607,43.658527,44.328838,44.328838,52105760.0
364,2023-02-27,45.095768,45.143047,43.557228,44.198788,44.198788,58887551.0
363,2023-02-26,44.469791,45.345127,44.214741,45.096806,45.096806,53959999.0
362,2023-02-25,45.217613,45.355904,43.562332,44.470398,44.470398,56315484.0
361,2023-02-24,47.8922,48.504753,44.722729,45.21452,45.21452,69310434.0
360,2023-02-23,47.90913,48.345802,46.597286,47.893879,47.893879,66752704.0
359,2023-02-22,49.196846,49.732769,46.007641,47.905499,47.905499,70889589.0
358,2023-02-21,50.114441,50.533054,47.958069,49.166622,49.166622,98476608.0
357,2023-02-20,47.897289,51.141949,47.326836,50.103222,50.103222,116613388.0
356,2023-02-19,46.099651,49.235283,45.921009,47.877979,47.877979,103832380.0
355,2023-02-18,45.321999,46.958351,45.321999,46.103886,46.103886,74386201.0
354,2023-02-17,43.513969,45.829262,43.418827,45.321259,45.321259,80653345.0
353,2023-02-16,46.254524,47.030083,43.400318,43.513119,43.513119,88923081.0
352,2023-02-15,43.626858,46.431862,43.168121,46.259293,46.259293,75580481.0
351,2023-02-14,43.581966,44.070766,42.50243,43.627552,43.627552,70269192.0
350,2023-02-13,46.196857,46.628571,42.593208,43.593803,43.593803,85947664.0
349,2023-02-12,45.645828,48.399387,44.60017,46.204514,46.204514,92821145.0
348,2023-02-11,43.607407,46.446152,43.432266,45.652817,45.652817,72966215.0
347,2023-02-10,42.911854,44.480186,42.604023,43.598408,43.598408,65221377.0
346,2023-02-09,45.25687,45.537621,42.569633,42.910488,42.910488,84856419.0
345,2023-02-08,46.869373,47.032513,44.885983,45.240318,45.240318,66879058.0
344,2023-02-07,43.347378,47.034756,43.331036,46.860424,46.860424,70312121.0
343,2023-02-06,44.220928,44.7076,43.186756,43.35487,43.35487,57268623.0
342,2023-02-05,46.565022,46.658878,43.74939,44.230404,44.230404,62238469.0
341,2023-02-04,47.034531,47.332085,46.340523,46.567066,46.567066,49583217.0
340,2023-02-03,45.853706,47.502403,45.658123,47.036045,47.036045,56124093.0
339,2023-02-02,47.20097,48.218334,45.775131,45.862785,45.862785,71511291.0
338,2023-02-01,45.189049,47.570812,44.200882,47.227844,47.227844,63807751.0
337,2023-01-31,44.580475,45.847157,44.240734,45.195526,45.195526,62718921.0
336,2023-01-30,47.228298,47.346382,44.094685,44.573872,44.573872,75292642.0
335,2023-01-29,45.39077,47.852654,45.122723,47.219906,47.219906,73226155.0
334,2023-01-28,46.488956,46.907215,44.873501,45.399754,45.399754,52190976.0
333,2023-01-27,46.816986,47.007076,45.497543,46.476784,46.476784,54369831.0
332,2023-01-26,45.511112,46.900997,44.784828,46.821453,46.821453,63865560.0
331,2023-01-25,44.524513,46.382179,43.81197,45.526924,45.526924,63466469.0
330,2023-01-24,47.016014,48.168751,44.362194,44.525398,44.525398,70037100.0
329,2023-01-23,47.322632,48.390781,46.663162,47.020409,47.020409,61060878.0
328,2023-01-22,48.075897,48.930828,46.585258,47.324787,47.324787,60881351.0
327,2023-01-21,48.083424,49.509312,48.012348,48.08765,48.08765,73986637.0
326,2023-01-20,44.473885,48.512238,44.245319,48.06953,48.06953,69385563.0
325,2023-01-19,42.837093,44.990276,42.805225,44.478531,44.478531,63288085.0
324,2023-01-18,44.605312,45.482502,42.177975,42.83667,42.83667,72586194.0
323,2023-01-17,42.582031,45.309723,42.146832,44.611549,44.611549,77762021.0
322,2023-01-16,44.747177,45.90741,42.053837,42.572437,42.572437,96431629.0
321,2023-01-15,46.743565,46.888496,44.469692,44.744225,44.744225,75491690.0
320,2023-01-14,45.406204,48.475979,45.39526,46.748737,46.748737,76716940.0
319,2023-01-13,45.306423,45.790752,44.015049,45.410378,45.410378,52171924.0
318,2023-01-12,44.836269,45.912041,43.296795,45.311146,45.311146,48704450.0
317,2023-01-11,44.020004,44.43338,42.678169,44.265175,44.265175,43960372.0
316,2023-01-10,43.222485,44.077847,42.448345,44.018669,44.018669,43113791.0
315,2023-01-09,42.586815,44.629807,42.586815,43.23518,43.23518,44744654.0
314,2023-01-08,41.582523,42.573044,41.191971,42.573044,42.573044,32486279.0
313,2023-01-07,41.369995,42.776745,40.887947,41.586102,41.586102,46522482.0
312,2023-01-06,39.749504,41.515598,38.85817,41.369404,41.369404,48732534.0
311,2023-01-05,40.709019,41.015656,39.660786,39.746597,39.746597,40515951.0
310,2023-01-04,39.987041,41.491863,39.94268,40.710484,40.710484,52545478.0
309,2023-01-03,39.523907,40.498901,39.461514,39.985916,39.985916,46200233.0
308,2023-01-02,37.190376,40.111977,36.742626,39.523411,39.523411,47146286.0
307,2023-01-01,37.342045,37.429127,36.652435,37.189072,37.189072,32609001.0
306,2022-12-31,37.877808,38.398048,37.344391,37.344391,37.344391,32720431.0
305,2022-12-30,38.037731,38.142796,37.148006,37.872437,37.872437,43405064.0
304,2022-12-29,37.448662,38.309269,37.37101,38.039841,38.039841,38553001.0
303,2022-12-28,38.738964,38.945629,37.177094,37.450596,37.450596,40210321.0
302,2022-12-27,40.344112,40.439667,38.205612,38.744732,38.744732,35383851.0
301,2022-12-26,39.952675,40.407681,39.827381,40.343113,40.343113,35794643.0
300,2022-12-25,39.749672,40.295368,39.494064,39.954639,39.954639,34293133.0
299,2022-12-24,39.369915,39.972832,39.087437,39.748718,39.748718,33190487.0
298,2022-12-23,39.402973,40.076138,39.125122,39.36871,39.36871,36792022.0
297,2022-12-22,41.342648,41.698132,38.755367,39.396957,39.396957,47871250.0
296,2022-12-21,42.229885,42.736916,41.261642,41.338177,41.338177,37489794.0
295,2022-12-20,42.228741,42.801311,41.651505,42.240425,42.240425,35488312.0
294,2022-12-19,43.507526,45.02623,41.865601,42.230324,42.230324,45951348.0
293,2022-12-18,43.026123,43.893188,42.621758,43.506489,43.506489,34845788.0
292,2022-12-17,40.991867,43.08147,40.209354,43.025936,43.025936,38463962.0
291,2022-12-16,45.923489,46.091797,40.466679,40.979053,40.979053,47743808.0
290,2022-12-15,46.380337,47.455261,45.821903,45.923069,45.923069,39808539.0
289,2022-12-14,46.278473,47.542397,46.277229,46.382229,46.382229,38296818.0
288,2022-12-13,45.945805,47.418011,45.329525,46.273678,46.273678,50138959.0
287,2022-12-12,44.943405,46.440567,43.854122,45.946449,45.946449,44688932.0
286,2022-12-11,45.539825,46.00869,44.946457,44.955791,44.955791,34588736.0
285,2022-12-10,45.562057,46.131645,45.460308,45.539177,45.539177,26442194.0
284,2022-12-09,44.949486,45.987873,44.804268,45.561462,45.561462,26220930.0
283,2022-12-08,43.652592,45.084667,43.541161,44.94862,44.94862,34949441.0
282,2022-12-07,46.154545,46.293922,43.463608,43.651356,43.651356,40753462.0
281,2022-12-06,46.382607,46.586948,45.236206,46.156021,46.156021,36848334.0
280,2022-12-05,45.857189,47.10865,45.39336,46.38171,46.38171,38042485.0
279,2022-12-04,45.454353,46.009533,44.882122,45.863201,45.863201,35955070.0
278,2022-12-03,46.117805,46.493816,45.211254,45.455898,45.455898,34327128.0
277,2022-12-02,44.865837,46.507523,44.505161,46.113106,46.113106,40343363.0
276,2022-12-01,43.335831,45.137436,42.892788,44.864185,44.864185,49577377.0
275,2022-11-30,40.035885,43.900108,40.027229,43.335194,43.335194,46103646.0
274,2022-11-29,39.536209,40.714886,39.33176,40.030071,40.030071,34624218.0
273,2022-11-28,40.673454,40.922478,38.982533,39.537876,39.537876,35179066.0
272,2022-11-27,41.365181,42.172516,40.61348,40.676304,40.676304,29360889.0
271,2022-11-26,41.435589,42.447781,41.241692,41.367966,41.367966,49540642.0
270,2022-11-25,43.659031,43.686218,41.303391,41.435005,41.435005,44551934.0
269,2022-11-24,43.158691,43.666737,42.454903,43.666737,43.666737,48363609.0
268,2022-11-23,39.815308,44.007648,39.741276,43.155453,43.155453,83285579.0
267,2022-11-22,37.642189,39.817501,37.276634,39.80431,39.80431,56006191.0
266,2022-11-21,38.156166,38.695591,37.13192,37.648174,37.648174,54094476.0
265,2022-11-20,39.794353,40.843349,37.99271,38.162125,38.162125,35721659.0
264,2022-11-19,39.187725,39.802601,38.486217,39.793526,39.793526,31616618.0
263,2022-11-18,39.714912,40.20956,38.834126,39.188011,39.188011,31954117.0
262,2022-11-17,39.01825,40.320709,38.588688,39.710758,39.710758,36986611.0
261,2022-11-16,40.814106,41.215893,38.676666,39.019444,39.019444,40368699.0
260,2022-11-15,40.496441,41.700211,40.319466,40.808975,40.808975,36442015.0
259,2022-11-14,40.662449,41.861534,38.894966,40.485676,40.485676,51670342.0
258,2022-11-13,40.045731,40.878399,38.899395,40.665813,40.665813,49160619.0
257,2022-11-12,39.377174,40.449474,36.8745,40.050259,40.050259,46001341.0
256,2022-11-11,39.35091,39.807487,37.814835,39.360687,39.360687,56823060.0
255,2022-11-10,35.222515,40.127724,34.470898,39.36478,39.36478,74410123.0
254,2022-11-09,42.182301,42.651745,34.161343,35.217838,35.217838,92509793.0
253,2022-11-08,51.174675,51.71804,39.137939,42.178787,42.178787,105872081.0
252,2022-11-07,50.366585,52.513893,49.977047,51.175613,51.175613,67335015.0
251,2022-11-06,53.628162,53.794952,50.354393,50.370502,50.370502,56419937.0
250,2022-11-05,53.831047,54.68222,53.326096,53.620155,53.620155,66641324.0
249,2022-11-04,50.365704,53.919579,50.211536,53.839779,53.839779,73023760.0
248,2022-11-03,50.312881,52.074024,50.054188,50.36557,50.36557,51924616.0
247,2022-11-02,50.284142,52.091946,49.589821,50.309917,50.309917,60815540.0
246,2022-11-01,52.62204,53.138203,50.123001,50.28764,50.28764,62863620.0
245,2022-10-31,53.673477,53.908291,52.187679,52.627827,52.627827,48910529.0
244,2022-10-30,54.219463,55.609207,53.258801,53.677036,53.677036,52148544.0
243,2022-10-29,53.861328,55.269447,53.670219,54.220554,54.220554,52234819.0
242,2022-10-28,52.944958,54.173603,52.208778,53.861046,53.861046,48932058.0
241,2022-10-27,55.186123,56.419914,52.838482,52.938862,52.938862,51592443.0
240,2022-10-26,53.400894,55.739868,53.238922,55.184978,55.184978,60785413.0
239,2022-10-25,51.987244,54.004749,51.89537,53.422733,53.422733,50642443.0
238,2022-10-24,53.082077,53.246529,51.340321,51.992268,51.992268,42353801.0
237,2022-10-23,52.360779,53.135071,51.684589,53.081825,53.081825,43129656.0
236,2022-10-22,52.122971,52.930691,51.581238,52.349773,52.349773,35786692.0
235,2022-10-21,51.975258,52.539074,50.109035,52.11993,52.11993,43113465.0
234,2022-10-20,50.75885,52.662971,50.355373,51.987713,51.987713,44738580.0
233,2022-10-19,52.456856,52.737442,50.724983,50.775188,50.775188,62955957.0
232,2022-10-18,52.861637,53.243427,51.252022,52.456646,52.456646,71243370.0
231,2022-10-17,51.858418,53.364941,51.424011,52.862289,52.862289,66112761.0
230,2022-10-16,50.913403,52.802139,50.896248,51.85915,51.85915,78091948.0
229,2022-10-15,50.012527,51.554062,49.699577,50.909859,50.909859,61783165.0
228,2022-10-14,50.94368,52.331268,49.609051,50.01556,50.01556,67496643.0
227,2022-10-13,51.83012,51.919613,47.977596,50.944321,50.944321,84725629.0
226,2022-10-12,51.514065,52.337292,51.314472,51.834812,51.834812,62659659.0
225,2022-10-11,52.729687,52.73003,51.415672,51.507404,51.507404,66935085.0
224,2022-10-10,54.828754,55.321419,52.724697,52.724697,52.724697,68696482.0
223,2022-10-09,54.479023,55.092918,53.971024,54.829273,54.829273,68873940.0
222,2022-10-08,54.733288,55.323238,54.183216,54.478626,54.478626,58793448.0
221,2022-10-07,55.221252,55.616932,54.252556,54.742722,54.742722,54803082.0
220,2022-10-06,56.720528,57.361893,55.196064,55.221992,55.221992,38283929.0
219,2022-10-05,56.755081,57.965816,56.342625,56.721561,56.721561,40280486.0
218,2022-10-04,56.008327,57.201752,55.817574,56.75882,56.75882,31574222.0
217,2022-10-03,53.711533,56.146935,53.40033,56.016094,56.016094,30957115.0
216,2022-10-02,55.335003,55.625942,53.687023,53.717735,53.717735,26912692.0
215,2022-10-01,55.734882,57.176685,55.332485,55.332485,55.332485,47062880.0
214,2022-09-30,56.691448,57.049915,55.728695,55.728695,55.728695,62174855.0
213,2022-09-29,55.486259,56.757729,54.601486,56.686665,56.686665,41425112.0
212,2022-09-28,57.180397,57.38401,53.641521,55.483734,55.483734,51608174.0
211,2022-09-27,58.992798,61.430031,56.384609,57.205219,57.205219,76009576.0
210,2022-09-26,56.197926,58.991432,55.425056,58.991432,58.991432,79259372.0
