,Date,Open,High,Low,Close,Adj Close,Volume
365,2023-02-28,0.03248,0.03248,0.031586,0.031796,0.031796,28462904.0
364,2023-02-27,0.03282,0.032954,0.03177,0.032423,0.032423,37882063.0
363,2023-02-26,0.031905,0.033008,0.031555,0.032818,0.032818,35271543.0
362,2023-02-25,0.033524,0.033524,0.03088,0.031903,0.031903,47787361.0
361,2023-02-24,0.035419,0.035501,0.032715,0.033518,0.033518,71905441.0
360,2023-02-23,0.035312,0.036667,0.034733,0.035422,0.035422,114752385.0
359,2023-02-22,0.034722,0.035854,0.032903,0.035313,0.035313,187436223.0
358,2023-02-21,0.034225,0.036278,0.032363,0.034718,0.034718,217962100.0
357,2023-02-20,0.032216,0.035386,0.031471,0.034219,0.034219,124011080.0
356,2023-02-19,0.032684,0.033031,0.031529,0.032225,0.032225,69240973.0
355,2023-02-18,0.031903,0.034338,0.031903,0.032688,0.032688,112424922.0
354,2023-02-17,0.029482,0.032354,0.029467,0.031909,0.031909,79414351.0
353,2023-02-16,0.031476,0.032306,0.029475,0.029492,0.029492,91159508.0
352,2023-02-15,0.029566,0.03187,0.028938,0.031476,0.031476,77823597.0
351,2023-02-14,0.029236,0.029668,0.028051,0.02957,0.02957,88610066.0
350,2023-02-13,0.029154,0.032449,0.02782,0.029244,0.029244,289144584.0
349,2023-02-12,0.028338,0.030674,0.027916,0.029156,0.029156,82990288.0
348,2023-02-11,0.027812,0.02835,0.027542,0.028348,0.028348,24951370.0
347,2023-02-10,0.02703,0.028156,0.0269,0.027809,0.027809,49371700.0
346,2023-02-09,0.030594,0.030876,0.026812,0.027022,0.027022,77245093.0
345,2023-02-08,0.030854,0.031117,0.029391,0.03064,0.03064,76621631.0
344,2023-02-07,0.029567,0.030898,0.028903,0.030847,0.030847,76072472.0
343,2023-02-06,0.028779,0.029742,0.028341,0.029573,0.029573,55496940.0
342,2023-02-05,0.0299,0.030561,0.027936,0.028773,0.028773,75373042.0
341,2023-02-04,0.029745,0.031825,0.02914,0.029902,0.029902,119700386.0
340,2023-02-03,0.028199,0.029738,0.028199,0.029738,0.029738,55747080.0
339,2023-02-02,0.028171,0.029674,0.028133,0.028201,0.028201,58301630.0
338,2023-02-01,0.026952,0.028412,0.026379,0.028175,0.028175,86667469.0
337,2023-01-31,0.026651,0.027266,0.026337,0.026953,0.026953,34125216.0
336,2023-01-30,0.029541,0.029622,0.026346,0.026695,0.026695,58120704.0
335,2023-01-29,0.029109,0.029648,0.028816,0.029541,0.029541,44574265.0
334,2023-01-28,0.029191,0.030897,0.028901,0.02911,0.02911,121804863.0
333,2023-01-27,0.027813,0.029488,0.027289,0.029189,0.029189,96854707.0
332,2023-01-26,0.027972,0.028482,0.02732,0.027807,0.027807,51028854.0
331,2023-01-25,0.026999,0.029015,0.02653,0.027979,0.027979,87875299.0
330,2023-01-24,0.028383,0.029912,0.026738,0.026994,0.026994,99109899.0
329,2023-01-23,0.026924,0.028636,0.026918,0.028382,0.028382,88812010.0
328,2023-01-22,0.02683,0.027921,0.026348,0.026923,0.026923,49752300.0
327,2023-01-21,0.027642,0.028397,0.026821,0.026828,0.026828,74371217.0
326,2023-01-20,0.025426,0.027695,0.02497,0.027639,0.027639,48489410.0
325,2023-01-19,0.024823,0.025535,0.024645,0.025427,0.025427,33739760.0
324,2023-01-18,0.027317,0.027505,0.02461,0.024827,0.024827,73207093.0
323,2023-01-17,0.027328,0.028348,0.026774,0.027317,0.027317,82056962.0
322,2023-01-16,0.025864,0.030509,0.025748,0.027329,0.027329,201587308.0
321,2023-01-15,0.026507,0.026528,0.025059,0.025862,0.025862,68801409.0
320,2023-01-14,0.025926,0.028192,0.025376,0.026502,0.026502,150963836.0
319,2023-01-13,0.023976,0.026785,0.023938,0.025931,0.025931,138475722.0
318,2023-01-12,0.023859,0.024208,0.02266,0.023974,0.023974,94726652.0
317,2023-01-11,0.02399,0.024014,0.022421,0.023212,0.023212,68868314.0
316,2023-01-10,0.023594,0.025325,0.023594,0.023987,0.023987,176226891.0
315,2023-01-09,0.021881,0.027138,0.021383,0.023604,0.023604,466714415.0
314,2023-01-08,0.017543,0.021967,0.017339,0.021897,0.021897,110867212.0
313,2023-01-07,0.01748,0.017652,0.017237,0.017543,0.017543,13080437.0
312,2023-01-06,0.01696,0.017582,0.016572,0.01748,0.01748,17208259.0
311,2023-01-05,0.016882,0.017029,0.016674,0.016961,0.016961,17386471.0
310,2023-01-04,0.016594,0.01709,0.016569,0.016883,0.016883,17558876.0
309,2023-01-03,0.016605,0.016799,0.01645,0.016595,0.016595,15028905.0
308,2023-01-02,0.016267,0.016758,0.016018,0.016605,0.016605,18964788.0
307,2023-01-01,0.015834,0.016332,0.015716,0.016267,0.016267,14596843.0
306,2022-12-31,0.015897,0.016096,0.015785,0.015835,0.015835,13114124.0
305,2022-12-30,0.016003,0.016027,0.015412,0.015889,0.015889,14832642.0
304,2022-12-29,0.016327,0.016416,0.015636,0.016003,0.016003,15359653.0
303,2022-12-28,0.017191,0.017258,0.016309,0.016327,0.016327,16144154.0
302,2022-12-27,0.017647,0.017707,0.016941,0.017191,0.017191,14374733.0
301,2022-12-26,0.0176,0.017693,0.017218,0.017648,0.017648,19775456.0
300,2022-12-25,0.017954,0.018005,0.017395,0.0176,0.0176,14209901.0
299,2022-12-24,0.018133,0.018194,0.017905,0.017954,0.017954,10788389.0
298,2022-12-23,0.018124,0.01822,0.017989,0.018132,0.018132,13131871.0
